Abeomelomys sevia
Dasykaluta rosamondae
Dasymys incomtus
Dasymys montanus
Dasymys rufulus
Dasyprocta azarae
Dasyprocta fuliginosa
Dasyprocta kalinowski
Dasyprocta leporina
Dasyprocta punctata
Dasyprocta ruatanica
Dasypus bellus
Dasypus beniensis
Dasypus guianensis
Dasypus hybridus
Dasypus kappleri
Dasypus novemcinctus
Dasypus pastasae
Dasypus pilosus
Dasypus sabanicola
Dasypus septemcinctus
Dasypus yepesi
Dasyuroides byrnei
Dasyurus albopunctatus
Dasyurus geoffroii
Dasyurus hallucatus
Dasyurus maculatus
Dasyurus spartacus
Dasyurus viverrinus
Daubentonia madagascariensis
Delanymys brooksi
Delomys altimontanus
Delomys collinus
Delomys dorsalis
Delomys sublineatus
Delphinapterus leucas
Delphinus bairdii
Delphinus capensis
Delphinus delphis
Delphinus tropicalis
Deltamys araucaria
Deltamys kempi
Dendrogale melanura
Dendrogale murina
Dendrohyrax arboreus
Dendrohyrax dorsalis
Dendrohyrax interfluvialis
Dendrolagus bennettianus
Dendrolagus dorianus
Dendrolagus goodfellowi
Dendrolagus inustus
Dendrolagus lumholtzi
Dendrolagus matschiei
Dendrolagus mbaiso
Dendrolagus notatus
Dendrolagus pulcherrimus
Dendrolagus scottae
Dendrolagus spadix
Dendrolagus stellarum
Dendrolagus ursinus
Dendromus insignis
Dendromus kumasi
Dendromus lachaisei
Dendromus lovati
Dendromus melanotis
Dendromus mesomelas
Dendromus messorius
Dendromus mystacalis
Dendromus nikolausi
Dendromus nyasae
Dendromus nyikae
Dendromus oreas
Dendromus pecilei
Dendromus ruppi
Deomys ferrugineus
Dephomys defua
Dermanura bogotensis
Dermanura gnomus
Dermanura incomitata
Dermanura phaeotis
Dermanura rava
Desmalopex leucoptera
Desmalopex microleucoptera
Desmana moschata
Desmodilliscus braueri
Desmodillus auricularis
Desmodus rotundus
Desmomys harringtoni
Diaemus youngi
Dicerorhinus sumatrensis
Diceros bicornis
Diclidurus albus
Diclidurus ingens
Diclidurus isabella
Diclidurus scutatus
Dicotyles tajacu
Dicrostonyx groenlandicus
Dicrostonyx hudsonius
Dicrostonyx richardsoni
Dicrostonyx torquatus
Didelphis albiventris
Didelphis aurita
Didelphis imperfecta
Didelphis marsupialis
Didelphis pernigra
Didelphis virginiana
Dinaromys bogdanovi
Dinomys branickii
Diphylla ecaudata
Diplogale hosei
Diplomesodon pulchellum
Diplomys labilis
Diplothrix legata
Dipodillus campestris
Dipodillus dasyurus
Dipodillus rupicola
Dipodillus simoni
Dipodomys agilis
Dipodomys californicus
Dipodomys compactus
Dipodomys deserti
Dipodomys elator
Dipodomys elephantinus
Dipodomys gravipes
Dipodomys heermanni
Dipodomys ingens
Dipodomys insularis
Dipodomys merriami
Dipodomys microps
Dipodomys nelsoni
Dipodomys nitratoides
Dipodomys ordii
Dipodomys panamintinus
Dipodomys phillipsii
Dipodomys simulans
Dipodomys spectabilis
Dipodomys stephensi
Dipodomys venustus
Dipus deasyi
Dipus sagitta
Distoechurus pennatus
Dobsonia andersoni
Dobsonia inermis
Dobsonia magna
Dobsonia minor
Dobsonia moluccensis
Dobsonia pannietensis
Dobsonia praedatrix
Dobsonia viridis
Dolichotis patagonum
Dolichotis salinicola
Dorcatragus megalotis
Dorcopsis hageni
Dorcopsis veterum
Dorcopsulus vanheurni
Doryrhina camerunensis
Doryrhina cyclops
Dremomys everetti
Dremomys gularis
Dremomys lokriah
Dremomys pernyi
Dremomys pyrrhomerus
Dremomys rufigenis
Dromiciops bozinovici
Dromiciops gliroides
Drymoreomys albimaculatus
Dryomys laniger
Dryomys nitedula
Dugong dugon
Dusicyon australis
Dusicyon avus
Dyacopterus rickarti
Dyacopterus spadiceus
Dymecodon pilirostris
Echimys chrysurus
Echimys saturnus
Echinops telfairi
Echinosciurus colliaei
Echinosciurus yucatanensis
Echinosorex gymnura
Echiothrix centrosa
Echiothrix leucura
Echymipera clara
Echymipera kalubu
Echymipera rufescens
Ectophylla alba
Eidolon dupreanum
Eidolon helvum
Eira barbara
Elaphodus cephalophus
Elaphurus davidianus
Elasmodontomys obliquus
Elasmotherium sibiricum
Elephantulus brachyrhynchus
Elephantulus edwardii
Elephantulus fuscipes
Elephantulus fuscus
Elephantulus intufi
Elephantulus myurus
Elephantulus pilicaudus
Elephantulus rupestris
Elephas antiquus
Elephas cypriotes
Elephas maximus
Eligmodontia bolsonensis
Eligmodontia hirtipes
Eligmodontia moreni
Eligmodontia morgani
Eligmodontia puerulus
Eligmodontia typus
Eliomys melanurus
Eliomys quercinus
Eliurus antsingy
Eliurus carletoni
Eliurus ellermani
Eliurus grandidieri
Eliurus majori
Eliurus minor
Eliurus myoxinus
Eliurus tanala
Eliurus tsingimbato
Eliurus webbi
Ellobius alaicus
Ellobius talpinus
Ellobius tancrei
Emballonura alecto
Emballonura beccarii
Emballonura dianae
Emballonura monticola
Emballonura raffrayana
Emballonura semicaudata
Emballonura serii
Enhydra lutris
Eoglaucomys fimbriatus
Eolagurus luteus
Eolagurus przewalskii
Eonycteris major
Eonycteris robusta
Eonycteris spelaea
Eospalax fontanierii
Eospalax rothschildi
Eospalax rufescens
Eospalax smithii
Eothenomys cachinus
Eothenomys colurnus
Eothenomys eleusis
Eothenomys eva
Eothenomys imaizumii
Eothenomys inez
Eothenomys luojishanensis
Eothenomys melanogaster
Eothenomys miletus
Eothenomys shimianensis
Eozapus setchuanus
Episoriculus caudatus
Episoriculus leucops
Episoriculus macrurus
Episoriculus soluensis
Episoriculus umbrinus
Epixerus wilsoni
Epomophorus anselli
Epomophorus crypturus
Epomophorus dobsonii
Epomophorus gambianus
Epomophorus labiatus
Epomophorus minor
Epomophorus pusillus
Epomophorus wahlbergi
Epomops buettikoferi
Epomops franqueti
Eptesicus dutertreus
Eptesicus fuscus
Equus asinus
Equus caballus
Equus capensis
Equus dalianensis
Equus ferus
Equus grevyi
Equus hemionus
Equus hydruntinus
Equus kiang
Equus lambei
Equus mosbachensis
Equus neogeus
Equus ovodovi
Equus przewalskii
Equus quagga
Equus scotti
Equus zebra
Eremitalpa granti
Eremodipus lichtensteini
Eremoryzomys polius
Erethizon dorsatum
Erignathus barbatus
Erinaceus amurensis
Erinaceus concolor
Erinaceus europaeus
Erinaceus roumanicus
Eropeplus canus
Erophylla bombifrons
Erophylla sezekorni
Erythrocebus patas
Eschrichtius robustus
Eubalaena australis
Eubalaena glacialis
Eubalaena japonica
Euchoreutes naso
Euderma maculatum
Eudiscopus denticulus
Eudorcas rufifrons
Eudorcas thomsonii
Eulemur albifrons
Eulemur cinereiceps
Eulemur coronatus
Eulemur flavifrons
Eulemur fulvus
Eulemur macaco
Eulemur mongoz
Eulemur rubriventer
Eulemur rufifrons
Eulemur rufus
Eulemur sanfordi
Eumetopias jubatus
Eumops auripendulus
Eumops bonariensis
Eumops chimaera
Eumops dabbenei
Eumops ferox
Eumops glaucinus
Eumops hansae
Eumops maurus
Eumops nanus
Eumops patagonicus
Eumops perotis
Eumops underwoodi
Eumops wilsoni
Euneomys chinchilloides
Euneomys fossor
Euneomys mordax
Euoticus elegantulus
Eupetaurus cinereus
Eupetaurus nivamons
Euphractus sexcinctus
Eupleres goudotii
Euroscaptor grandis
Euroscaptor klossi
Euroscaptor kuznetsovi
Euroscaptor longirostris
Euroscaptor malayana
Euroscaptor micrura
Euroscaptor orlovi
Euroscaptor parvidens
Euroscaptor subanura
Euryoryzomys emmonsae
Euryoryzomys lamia
Euryoryzomys legatus
Euryoryzomys macconnelli
Euryoryzomys nitidus
Euryoryzomys russatus
Euryzygomatomys spinosus
Exilisciurus concinnus
Exilisciurus exilis
Exilisciurus whiteheadi
Falsistrellus mackenziei
Falsistrellus tasmaniensis
Felis catus
Felis chaus
Felis margarita
Felis nigripes
Felis silvestris
Felovia vae
Feresa attenuata
Feroculus feroculus
Fossa fossana
Frateromys fratrorum
Fukomys amatus
Fukomys anselli
Fukomys bocagei
Fukomys choma
Fukomys damarensis
Fukomys darlingi
Fukomys foxi
Fukomys hanangensis
Fukomys kafuensis
Fukomys livingstoni
Fukomys mechowii
Fukomys micklemi
Fukomys ochraceocinereus
Fukomys whytei
Fukomys zechi
Funambulus layardi
Funambulus palmarum
Funambulus pennantii
Funambulus sublineatus
Funambulus tristriatus
Funisciurus anerythrus
Funisciurus carruthersi
Funisciurus pyrropus
Furipterus horrens
Galago alleni
Galago gabonensis
Galago gallarum
Galago matschiei
Galago moholi
Galago senegalensis
Galagoides cocos
Galagoides demidoff
Galagoides orinus
Galagoides rondoensis
Galagoides thomasi
Galea monasteriensis
Galea musteloides
Galea spixii
Galegeeska revoilii
Galegeeska rufescens
Galemys pyrenaicus
Galenomys garleppii
Galeopterus variegatus
Galerella nigrata
Galerella pulverulenta
Galerella sanguinea
Galictis cuja
Galictis vittata
Galidia elegans
Galidictis fasciata
Galidictis grandidieri
Gardnerycteris crenulata
Gardnerycteris keenani
Gardnerycteris koepckeae
Gazella arabica
Gazella bennettii
Gazella cuvieri
Gazella dorcas
Gazella erlangeri
Gazella gazella
Gazella leptoceros
Gazella saudiya
Gazella spekei
Gazella subgutturosa
Genetta abyssinica
Genetta angolensis
Genetta bourloni
Genetta cristata
Genetta felina
Genetta genetta
Genetta johnstoni
Genetta maculata
Genetta pardina
Genetta piscivora
Genetta poensis
Genetta servalina
Genetta thierryi
Genetta tigrina
Genetta victoriae
Geocapromys brownii
Geocapromys columbianus
Geocapromys ingrahami
Geocapromys thoracatus
Geogale aurita
Geomys arenarius
Geomys attwateri
Geomys brazensis
Geomys breviceps
Geomys bursarius
Geomys jugossicularis
Geomys knoxjonesi
Geomys personatus
Geomys pinetis
Geomys streckeri
Geomys texensis
Geomys tropicalis
Georychus capensis
Geoxus annectens
Geoxus lafkenche
Geoxus michaelseni
Geoxus valdivianus
Gerbilliscus afer
Gerbilliscus boehmi
Gerbilliscus brantsii
Gerbilliscus gambianus
Gerbilliscus guineae
Gerbilliscus inclusus
Gerbilliscus kempi
Gerbilliscus leucogaster
Gerbilliscus nigricaudus
Gerbilliscus phillipsi
Gerbilliscus robustus
Gerbilliscus taborae
Gerbilliscus validus
Gerbilliscus vicinus
Gerbillurus paeba
Gerbillurus setzeri
Gerbillurus tytonis
Gerbillurus vallinus
Gerbillus amoenus
Gerbillus andersoni
Gerbillus cheesmani
Gerbillus floweri
Gerbillus gerbillus
Gerbillus henleyi
Gerbillus hesperinus
Gerbillus hoogstrali
Gerbillus latastei
Gerbillus mesopotamiae
Gerbillus nancillus
Gerbillus nanus
Gerbillus nigeriae
Gerbillus occiduus
Gerbillus perpallidus
Gerbillus poecilops
Gerbillus pusillus
Gerbillus pyramidum
Gerbillus tarabuli
Giraffa camelopardalis
Giraffa giraffa
Giraffa reticulata
Giraffa tippelskirchi
Glaucomys oregonensis
Glaucomys sabrinus
Glaucomys volans
Glauconycteris alboguttata
Glauconycteris argentata
Glauconycteris atra
Glauconycteris beatrix
Glauconycteris curryae
Glauconycteris egeria
Glauconycteris humeralis
Glauconycteris poensis
Glauconycteris superba
Glauconycteris variegata
Glironia venusta
Glirulus japonicus
Glis glis
Glischropus aquilus
Glischropus bucephalus
Glischropus tylopus
Globicephala macrorhynchus
Globicephala melas
Glossophaga commissarisi
Glossophaga leachii
Glossophaga longirostris
Glossophaga morenoi
Glossophaga mutica
Glossophaga soricina
Glossotherium robustum
Glyphonycteris daviesi
Glyphonycteris sylvestris
Glyphotes simus
Golunda ellioti
Gorilla beringei
Gorilla gorilla
Gracilimus radix
Gracilinanus aceramarcae
Gracilinanus agilis
Gracilinanus emiliae
Gracilinanus marica
Gracilinanus microtarsus
Gracilinanus peruanus
Grammomys cometes
Grammomys dolichurus
Grammomys dryas
Grammomys gazellae
Grammomys ibeanus
Grammomys macmillani
Grammomys poensis
Grammomys polionops
Grammomys selousi
Grammomys surdaster
Grampus griseus
Graomys centralis
Graomys chacoensis
Graomys domorum
Graomys griseoflavus
Graphiurus kelleni
Graphiurus lorraineus
Graphiurus microtis
Graphiurus murinus
Graphiurus ocularis
Graphiurus platyops
Guerlinguetus aestuans
Guerlinguetus brasiliensis
Gulo gulo
Gymnobelideus leadbeateri
Gymnuromys roberti
Habromys chinanteco
Habromys delicatulus
Habromys ixtlani
Habromys lepturus
Habromys lophurus
Habromys schmidlyi
Habromys simulatus
Hadropithecus stenognathus
Hadrosciurus igniventris
Hadrosciurus pyrrhinus
Hadrosciurus spadiceus
Haeromys minahassae
Halichoerus grypus
Halmaheramys bokimekot
Halmaheramys wallacei
Handleyomys alfaroi
Handleyomys chapmani
Handleyomys fuscatus
Handleyomys guerrerensis
Handleyomys intectus
Handleyomys melanotis
Handleyomys rhabdops
Handleyomys rostratus
Handleyomys saturatior
Hapalemur alaotrensis
Hapalemur aureus
Hapalemur gilberti
Hapalemur griseus
Hapalemur meridionalis
Hapalemur occidentalis
Hapalomys delacouri
Hapalomys longicaudatus
Hapalomys suntsovi
Haplonycteris fischeri
Haringtonhippus francisci
Harpiocephalus harpia
Harpiocephalus mordax
Harpiola isodon
Harpyionycteris celebensis
Harpyionycteris whiteheadi
Heimyscus fumosus
Helarctos malayanus
Heliophobius argenteocinereus
Heliophobius emini
Heliosciurus gambianus
Heliosciurus rufobrachium
Heliosciurus ruwenzorii
Heliosciurus undulatus
Helogale hirtula
Helogale parvula
Hemibelideus lemuroides
Hemicentetes nigriceps
Hemicentetes semispinosus
Hemiechinus auritus
Hemigalus derbyanus
Hemitragus jemlahicus
Herpailurus yagouaroundi
Herpestes brachyurus
Herpestes edwardsi
Herpestes fuscus
Herpestes ichneumon
Herpestes semitorquatus
Herpestes smithii
Herpestes urva
Herpestes vitticollis
Hesperoptenus blanfordi
Hesperoptenus doriae
Hesperoptenus tickelli
Hesperoptenus tomesi
Hesperosciurus griseus
Heterocephalus glaber
Heterogeomys cavator
Heterogeomys cherriei
Heterogeomys dariensis
Heterogeomys heterodus
Heterogeomys hispidus
Heterogeomys lanius
Heterogeomys underwoodi
Heterohyrax brucei
Heteromys adspersus
Heteromys anomalus
Heteromys australis
Heteromys desmarestianus
Heteromys gaumeri
Heteromys goldmani
Heteromys irroratus
Heteromys nelsoni
Heteromys nubicolens
Heteromys oasicus
Heteromys oresterus
Heteromys pictus
Heteromys salvini
Heteromys spectabilis
Hexaprotodon liberiensis
Hippidion devillei
Hippidion principale
Hippidion saldiasi
Hippocamelus antisensis
Hippocamelus bisulcus
Hippopotamus amphibius
Hippopotamus minor
Hipposideros abae
Hipposideros alongensis
Hipposideros armiger
Hipposideros ater
Hipposideros beatus
Hipposideros bicolor
Hipposideros boeadii
Hipposideros caffer
Hipposideros calcaratus
Hipposideros cervinus
Hipposideros cineraceus
Hipposideros coronatus
Hipposideros coxi
Hipposideros demissus
Hipposideros diadema
Hipposideros dinops
Hipposideros doriae
Hipposideros durgadasi
Hipposideros dyacorum
Hipposideros einnaythu
Hipposideros fuliginosus
Hipposideros fulvus
Hipposideros galeritus
Hipposideros gentilis
Hipposideros grandis
Hipposideros griffini
Hipposideros halophyllus
Hipposideros hypophyllus
Hipposideros jonesi
Hipposideros khaokhouayensis
Hipposideros khasiana
Hipposideros kingstonae
Hipposideros kunzi
Hipposideros lamottei
Hipposideros lankadiva
Hipposideros larvatus
Hipposideros lekaguli
Hipposideros lylei
Hipposideros marisae
Hipposideros nicobarulae
Hipposideros obscurus
Hipposideros pelingensis
Hipposideros pendleburyi
Hipposideros pomona
Hipposideros poutensis
Hipposideros pratti
Hipposideros pygmaeus
Hipposideros ridleyi
Hipposideros rotalis
Hipposideros ruber
Hipposideros scutinares
Hipposideros speoris
Hipposideros turpis
Hippotragus equinus
Hippotragus leucophaeus
Hippotragus niger
Histiotus diaphanopterus
Histiotus humboldti
Histiotus laephotis
Histiotus macrotus
Histiotus magellanicus
Histiotus mochica
Histiotus montanus
Histiotus velatus
Hodomys alleni
Holochilus brasiliensis
Holochilus chacarius
Holochilus nanus
Holochilus sciureus
Holochilus vulpinus
Homo heidelbergensis
Homo sapiens
Homotherium latidens
Homotherium serum
Hoolock hoolock
Hoolock leuconedys
Hoolock tianxing
Hoplomys gymnurus
Hsunycteris cadenai
Hsunycteris dashe
Hsunycteris pattoni
Hsunycteris thomasi
Huetia leucorhinus
Hyaena hyaena
Hybomys badius
Hybomys basilii
Hybomys eisentrauti
Hybomys lunaris
Hybomys planifrons
Hybomys rufocanus
Hybomys trivirgatus
Hybomys univittatus
Hydrictis maculicollis
Hydrochoerus hydrochaeris
Hydrodamalis gigas
Hydromys chrysogaster
Hydromys neobrittanicus
Hydropotes inermis
Hydrurga leptonyx
Hyelaphus porcinus
Hyemoschus aquaticus
Hyladelphys kalinowskii
Hylaeamys acritus
Hylaeamys laticeps
Hylaeamys megacephalus
Hylaeamys perenensis
Hylaeamys seuanezi
Hylaeamys tatei
Hylaeamys yunganus
Hylobates agilis
Hylobates albibarbis
Hylobates funereus
Hylobates klossii
Hylobates lar
Hylobates moloch
Hylobates muelleri
Hylobates pileatus
Hylochoerus meinertzhageni
Hylomys dorsalis
Hylomys macarong
Hylomys maxi
Hylomys megalotis
Hylomys parvus
Hylomys peguensis
Hylomys suillus
Hylomys vorax
Hylomyscus aeta
Hylomyscus alleni
Hylomyscus anselli
Hylomyscus arcimontensis
Hylomyscus baeri
Hylomyscus denniae
Hylomyscus endorobae
Hylomyscus grandis
Hylomyscus heinrichorum
Hylomyscus kaimosae
Hylomyscus kerbispeterhansi
Hylomyscus mpungamachagorum
Hylomyscus pamfi
Hylomyscus parvus
Hylomyscus pygmaeus
Hylomyscus simus
Hylomyscus stanleyi
Hylomyscus stella
Hylomyscus thornesmithae
Hylomyscus walterverheyeni
Hylonycteris underwoodi
Hylopetes alboniger
Hylopetes lepidus
Hylopetes nigripes
Hylopetes phayrei
Hylopetes spadiceus
Hyomys goliath
Hyorhinomys stuempkei
Hyosciurus heinrichi
Hyosciurus ileile
Hyperacrius fertilis
Hyperoodon ampullatus
Hyperoodon planifrons
Hypnomys morpheus
Hypogeomys antimena
Hypsignathus monstrosus
Hypsiprymnodon moschatus
Hypsugo alaschanicus
Hypsugo arabicus
Hypsugo ariel
Hypsugo cadornae
Hypsugo dolichodon
Hypsugo macrotis
Hypsugo petersi
Hypsugo pulveratus
Hypsugo savii
Hypsugo stubbei
Hystrix africaeaustralis
Hystrix brachyura
Hystrix crassispinis
Hystrix cristata
Hystrix indica
Ia io
Ichneumia albicauda
Ichthyomys hydrobates
Ichthyomys orientalis
Ichthyomys stolzmanni
Ichthyomys tweedii
Ictidomys mexicanus
Ictidomys parvidens
Ictidomys tridecemlineatus
Ictonyx libycus
Ictonyx striatus
Idionycteris phyllotis
Idiurus macrotis
Indopacetus pacificus
Indri indri
Inia araguaiaensis
Inia boliviensis
Inia geoffrensis
Inia humboldtiana
Iomys horsfieldi
Irenomys tarsalis
Isoodon auratus
Isoodon fusciventer
Isoodon macrourus
Isoodon obesulus
Isoodon peninsulae
Isothrix barbarabrownae
Isothrix bistriata
Isothrix negrensis
Isothrix orinoci
Isothrix pagurus
Isothrix sinnamariensis
Isthmomys flavidus
Isthmomys pirrensis
Jaculus blanfordi
Jaculus deserti
Jaculus jaculus
Jaculus orientalis
Juliomys ossitenuis
Juliomys pictipes
Juliomys rimofrons
Juliomys ximenezi
Juscelinomys huanchacae
Kadarsanomys sodyi
Kannabateomys amblyonyx
Kerivoula argentata
Kerivoula cuprosa
Kerivoula depressa
Kerivoula dongduongana
Kerivoula furva
Kerivoula hardwickii
Kerivoula intermedia
Kerivoula kachinensis
Kerivoula krauensis
Kerivoula lanosa
Kerivoula lenis
Kerivoula minuta
Kerivoula papillosa
Kerivoula pellucida
Kerivoula phalaena
Kerivoula picta
Kerivoula smithii
Kerivoula titania
Kerivoula whiteheadi
Kerodon acrobata
Kerodon rupestris
Kobus ellipsiprymnus
Kobus kob
Kobus leche
Kobus megaceros
Kobus vardonii
Kogia breviceps
Kogia sima
Komodomys rintjanus
Kunsia tomentosus
Laephotis angolensis
Laephotis capensis
Laephotis kirinyaga
Laephotis malagasyensis
Laephotis matroka
Laephotis namibensis
Laephotis robertsi
Laephotis stanleyi
Laephotis wintoni
Lagenodelphis hosei
Lagenorhynchus albirostris
Lagidium peruanum
Lagidium viscacia
Lagidium wolffsohni
Lagorchestes conspicillatus
Lagorchestes hirsutus
Lagostomus maximus
Lagostrophus fasciatus
Lagothrix cana
Lagothrix flavicauda
Lagothrix lagotricha
Lagothrix lugens
Lagothrix poeppigii
Lagothrix tschudii
Lagurus lagurus
Lama glama
Lama guanicoe
Lamottemys okuensis
Laonastes aenigmamus
Lariscus hosei
Lariscus insignis
Lariscus niobe
Lariscus obscurus
Lasionycteris noctivagans
Lasiopodomys anglicus
Lasiopodomys brandtii
Lasiopodomys mandarinus
Lasiorhinus krefftii
Lasiorhinus latifrons
Lasiurus arequipae
Lasiurus atratus
Lasiurus blossevillii
Lasiurus borealis
Lasiurus cinereus
Lasiurus ega
Lasiurus egregius
Lasiurus frantzii
Lasiurus insularis
Lasiurus intermedius
Lasiurus minor
Lasiurus pfeifferi
Lasiurus seminolus
Lasiurus semotus
Lasiurus varius
Lasiurus villosissimus
Lasiurus xanthinus
Latidens salimalii
Lavia frons
Leggadina forresti
Leggadina lakedownensis
Leimacomys buettneri
Leiuromys occasius
Lemmiscus curtatus
Lemmus amurensis
Lemmus lemmus
Lemmus sibiricus
Lemmus trimucronatus
Lemniscomys barbarus
Lemniscomys bellieri
Lemniscomys griselda
Lemniscomys linulus
Lemniscomys macculus
Lemniscomys mittendorfi
Lemniscomys rosalia
Lemniscomys striatus
Lemniscomys zebra
Lemur catta
Lenomys meyeri
Lenothrix cana
Lenoxus apicalis
Leontocebus cruzlimai
Leontocebus fuscicollis
Leontocebus fuscus
Leontocebus nigricollis
Leontocebus tripartitus
Leontopithecus chrysomelas
Leontopithecus chrysopygus
Leontopithecus rosalia
Leopardus colocola
Leopardus geoffroyi
Leopardus guigna
Leopardus guttulus
Leopardus jacobita
Leopardus pardalis
Leopardus pardinoides
Leopardus tigrinus
Leopardus wiedii
Leopoldamys ciliatus
Leopoldamys edwardsi
Leopoldamys herberti
Leopoldamys milleti
Leopoldamys neilli
Leopoldamys revertens
Leopoldamys sabanus
Leopoldamys siporanus
Leopoldamys vociferans
Lepilemur aeeclis
Lepilemur ahmansoni
Lepilemur ankaranensis
Lepilemur betsileo
Lepilemur dorsalis
Lepilemur edwardsi
Lepilemur fleuretae
Lepilemur grewcocki
Lepilemur hollandorum
Lepilemur hubbardi
Lepilemur jamesi
Lepilemur leucopus
Lepilemur microdon
Lepilemur milanoii
Lepilemur mustelinus
Lepilemur otto
Lepilemur petteri
Lepilemur randrianasoloi
Lepilemur ruficaudatus
Lepilemur sahamalaza
Lepilemur scottorum
Lepilemur seali
Lepilemur septentrionalis
Lepilemur tymerlachsoni
Lepilemur wrighti
Leporillus apicalis
Leporillus conditor
Leptailurus serval
Leptomys elegans
Leptonychotes weddellii
Leptonycteris curasoae
Leptonycteris nivalis
Leptonycteris yerbabuenae
Leptosciurus mimulus
Leptosciurus otinus
Leptosciurus pucheranii
Leptosciurus similis
Lepus alleni
Lepus americanus
Lepus arcticus
Lepus brachyurus
Lepus californicus
Lepus callotis
Lepus capensis
Lepus castroviejoi
Lepus comus
Lepus coreanus
Lepus corsicanus
Lepus crawshayi
Lepus europaeus
Lepus fagani
Lepus flavigularis
Lepus granatensis
Lepus habessinicus
Lepus hainanus
Lepus insularis
Lepus mandshuricus
Lepus nigricollis
Lepus oiostolus
Lepus othus
Lepus peguensis
Lepus saharae
Lepus saxatilis
Lepus schlumbergeri
Lepus sinensis
Lepus starcki
Lepus tibetanus
Lepus timidus
Lepus tolai
Lepus townsendii
Lepus victoriae
Lepus yarkandensis
Lestodelphys halli
Lestoros inca
Leucocephalophus adersi
Leucopleurus acutus
Liberiictis kuhni
Lichonycteris obscura
Limnogale mergulus
Limnomys bryophilus
Limnomys sibuanus
Lionycteris spurrelli
Lipotes vexillifer
Lissodelphis borealis
Lissodelphis peronii
Litocranius walleri
Lobodon carcinophaga
Lonchophylla chocoana
Lonchophylla concava
Lonchophylla dekeyseri
Lonchophylla handleyi
Lonchophylla hesperia
Lonchophylla mordax
Lonchophylla orienticollina
Lonchophylla robusta
Lonchorhina aurita
Lonchorhina inusitata
Lonchorhina orinocensis
Lonchothrix emiliae
Lontra canadensis
Lontra felina
Lontra longicaudis
Lontra provocax
Lophiomys imhausi
Lophocebus albigena
Lophocebus aterrimus
Lophostoma brasiliense
Lophostoma carrikeri
Lophostoma evote
Lophostoma occidentale
Lophostoma schulzi
Lophostoma silvicola
Lophuromys angolensis
Lophuromys ansorgei
Lophuromys aquilus
Lophuromys brevicaudus
Lophuromys brunneus
Lophuromys chercherensis
Lophuromys chrysopus
Lophuromys dudui
Lophuromys flavopunctatus
Lophuromys kilonzoi
Lophuromys laticeps
Lophuromys machangui
Lophuromys makundii
Lophuromys melanonyx
Lophuromys menageshae
Lophuromys nudicaudus
Lophuromys pseudosikapusi
Lophuromys rahmi
Lophuromys sabuni
Lophuromys sikapusi
Lophuromys simensis
Lophuromys stanleyi
Lophuromys verhageni
Lophuromys woosnami
Lophuromys zena
Lorentzimys nouhuysi
Loris lydekkerianus
Loris tardigradus
Loxodonta africana
Loxodonta cyclotis
Loxodontomys micropus
Lundomys molitor
Lutra lutra
Lutra nippon
Lutra sumatrana
Lutreolina crassicaudata
Lutreolina massoia
Lutrogale perspicillata
Lycalopex culpaeus
Lycalopex fulvipes
Lycalopex griseus
Lycalopex gymnocercus
Lycalopex sechurae
Lycalopex vetulus
Lycaon pictus
Lyncodon patagonicus
Lynx canadensis
Lynx lynx
Lynx pardinus
Lynx rufus
Lyroderma lyra
Macaca arctoides
Macaca assamensis
Macaca balantak
Macaca brunnescens
Macaca cyclopis
Macaca fascicularis
Macaca fuscata
Macaca hecki
Macaca leonina
Macaca leucogenys
Macaca maura
Macaca mulatta
Macaca munzala
Macaca nemestrina
Macaca nigra
Macaca nigrescens
Macaca ochreata
Macaca pagensis
Macaca radiata
Macaca siberu
Macaca silenus
Macaca sinica
Macaca sylvanus
Macaca thibetana
Macaca tonkeana
Macrauchenia patachonica
Macroderma gigas
Macrogalidia musschenbroekii
Macroglossus minimus
Macroglossus sobrinus
Macronycteris commersonii
Macronycteris cryptovalorona
Macronycteris gigas
Macronycteris vittatus
Macrophyllum macrophyllum
Macropus fuliginosus
Macropus giganteus
Macroscelides flavicaudatus
Macroscelides micus
Macroscelides proboscideus
Macrotarsomys bastardi
Macrotarsomys ingens
Macrotis lagotis
Macrotis leucura
Macrotus californicus
Macrotus waterhousii
Macruromys major
Madoqua guentheri
Madoqua kirkii
Madoqua saltiana
Makalata didelphoides
Makalata macrura
Malacomys cansdalei
Malacomys edwardsi
Malacomys longipes
Malacothrix typica
Mallomys aroaensis
Mallomys istapantap
Mallomys rothschildi
Malpaisomys insularis
Mammelomys lanosus
Mammelomys rattoides
Mammut americanum
Mammut pacificus
Mammuthus columbi
Mammuthus exilis
Mammuthus jeffersonii
Mammuthus primigenius
Mandrillus leucophaeus
Mandrillus sphinx
Manis aurita
Manis crassicaudata
Manis culionensis
Manis javanica
Manis mysteria
Manis pentadactyla
Margaretamys beccarii
Margaretamys christinae
Margaretamys elegans
Margaretamys parvus
Marmosa alstoni
Marmosa andersoni
Marmosa budini
Marmosa constantiae
Marmosa demerarae
Marmosa germana
Marmosa jansae
Marmosa lepida
Marmosa limae
Marmosa meridae
Marmosa mexicana
Marmosa murina
Marmosa paraguayana
Marmosa parda
Marmosa perplexa
Marmosa phaea
Marmosa rapposa
Marmosa regina
Marmosa robinsoni
Marmosa rubra
Marmosa rutteri
Marmosa tyleriana
Marmosa xerophila
Marmosops bishopi
