number,scientific_name,english_common_name
841,Chiroderma salvini,Bat
842,Chiroderma scopaeum,Bat
843,Chiroderma trinitatum,Bat
844,Chiroderma villosum,Bat
845,Chiromyscus chiropus,Mouse
846,Chiromyscus langbianis,Mouse
847,Chiromyscus thomasi,Mouse
848,Chironax melanocephalus,Bat
849,Chironectes minimus,Water Opossum
850,Chiropodomys gliroides,Mouse
851,Chiropodomys major,Mouse
852,Chiropodomys pusillus,Mouse
853,Chiropotes albinasus,Monkey
854,Chiropotes chiropotes,Monkey
855,Chiropotes israelita,Monkey
856,Chiropotes sagulatus,Monkey
857,Chiropotes satanas,Monkey
858,Chiropotes utahickae,Monkey
859,Chiruromys vates,Mouse
860,Chlamyphorus truncatus,Pink Fairy Armadillo
861,Chlorocebus aethiops,Monkey
862,Chlorocebus cynosuros,Monkey
863,Chlorocebus djamdjamensis,Monkey
864,Chlorocebus dryas,Monkey
865,Chlorocebus pygerythrus,Monkey
866,Chlorocebus sabaeus,Monkey
867,Chlorocebus tantalus,Monkey
868,Chlorotalpa duthieae,Mole
869,Chlorotalpa sclateri,Mole
872,Chodsigoa furva,Shrew
874,Chodsigoa hypsibia,Shrew
875,Chodsigoa parca,Shrew
876,Chodsigoa parva,Shrew
877,Chodsigoa smithii,Shrew
878,Chodsigoa sodalis,Shrew
879,Choeroniscus godmani,Bat
880,Choeroniscus minor,Bat
881,Choeronycteris mexicana,Bat
882,Choloepus didactylus,Two-toed Sloth
883,Choloepus hoffmanni,Sloth
884,Chrotogale owstoni,Civet
885,Chrotomys gonzalesi,Mouse
886,Chrotomys mindorensis,Mouse
887,Chrotomys sibuyanensis,Mouse
888,Chrotomys silaceus,Mouse
889,Chrotomys whiteheadi,Mouse
890,Chrotopterus auritus,Bat
891,Chrysochloris asiatica,Golden Mole
893,Chrysocyon brachyurus,Maned Wolf
894,Chrysospalax trevelyani,Golden Mole
895,Chrysospalax villosus,Golden Mole
896,Cistugo lesueuri,Bat
897,Cistugo seabrae,Bat
898,Civettictis civetta,Civet
899,Clethrionomys centralis,Mouse
900,Clethrionomys gapperi,Mouse
901,Clethrionomys rutilus,Vole
902,Cloeotis percivali,Bat
911,Cnephaeus nilssonii,Bat
916,Coccymys ruemmleri,Mouse
917,Coelodonta antiquitatis,Woolly Rhinoceros
918,Coelops frithii,Bat
919,Coelops robinsoni,Bat
920,Coendou baturitensis,Porcupine
921,Coendou bicolor,Porcupine
922,Coendou ichillus,Porcupine
923,Coendou insidiosus,Porcupine
924,Coendou melanurus,Porcupine
925,Coendou mexicanus,Porcupine
926,Coendou nycthemera,Porcupine
927,Coendou prehensilis,Porcupine
928,Coendou pruinosus,Porcupine
929,Coendou quichua,Porcupine
930,Coendou roosmalenorum,Porcupine
931,Coendou rufescens,Porcupine
932,Coendou speratus,Porcupine
933,Coendou spinosus,Porcupine
934,Coendou vestitus,Porcupine
935,Coendou villosus,Porcupine
936,Coleura afra,Bat
937,Coleura kibomalandy,Bat
938,Coleura seychellensis,Bat
939,Colobus angolensis,Monkey
940,Colobus guereza,Monkey
941,Colobus polykomos,Monkey
942,Colobus satanas,Monkey
943,Colobus vellerosus,Monkey
944,Colomys eisentrauti,Mouse
945,Colomys goslingi,Mouse
946,Colomys lumumbai,Mouse
947,Colomys wologizi,Mouse
948,Condylura cristata,Star-nosed Mole
949,Conepatus chinga,Skunk
950,Conepatus leuconotus,Skunk
951,Conepatus mesoleucus,Skunk
952,Conepatus semistriatus,Skunk
953,Congomys verschureni,Mouse
956,Conilurus albipes,Mouse
957,Conilurus penicillatus,Mouse
958,Connochaetes gnou,Wildebeest
959,Connochaetes taurinus,Wildebeest
960,Cormura brevirostris,Bat
961,Corynorhinus mexicanus,Bat
962,Corynorhinus rafinesquii,Bat
963,Corynorhinus townsendii,Bat
964,Craseomys andersoni,Vole
965,Craseomys rex,Vole
966,Craseomys smithii,Vole
967,Craseonycteris thonglongyai,Bat
971,Cratogeomys bursarius,Gopher
972,Cratogeomys castanops,Gopher
973,Cratogeomys estor,Gopher
974,Cratogeomys fulvescens,Gopher
975,Cratogeomys fumosus,Gopher
976,Cratogeomys goldmani,Gopher
977,Cratogeomys gymnurus,Gopher
978,Cratogeomys merriami,Gopher
979,Cratogeomys neglectus,Gopher
980,Cratogeomys perotensis,Gopher
981,Cratogeomys planiceps,Gopher
982,Cratogeomys tylorhinus,Gopher
983,Cratogeomys zinseri,Gopher
984,Cremnomys cutchicus,Mouse
985,Cricetomys ansorgei,Rat
986,Cricetomys emini,Rat
987,Cricetomys gambianus,Giant Pouched Rat
988,Cricetulus barabensis,Hamster
989,Cricetulus griseus,Hamster
990,Cricetulus longicaudatus,Hamster
991,Cricetulus sokolovi,Hamster
992,Cricetus cricetus,Hamster
993,Crocidura absconditus,Shrew
994,Crocidura afeworkbekelei,Shrew
995,Crocidura aleksandrisi,Shrew
996,Crocidura andamanensis,Shrew
997,Crocidura anhuiensis,Shrew
998,Crocidura arispa,Shrew
999,Crocidura armenica,Shrew
1000,Crocidura attenuata,Shrew
1001,Crocidura attila,Shrew
1002,Crocidura australis,Shrew
1003,Crocidura baileyi,Shrew
1004,Crocidura baletei,Shrew
1005,Crocidura balingka,Shrew
1006,Crocidura baluensis,Shrew
1007,Crocidura barapi,Shrew
1008,Crocidura batakorum,Shrew
1009,Crocidura batesi,Shrew
1010,Crocidura beata,Shrew
1011,Crocidura beccarii,Shrew
1012,Crocidura bottegi,Shrew
1013,Crocidura brevicauda,Shrew
1014,Crocidura brunnea,Shrew
1015,Crocidura buettikoferi,Shrew
1016,Crocidura caliginea,Shrew
1017,Crocidura canariensis,Shrew
1018,Crocidura caspica,Shrew
1019,Crocidura caudicrassa,Shrew
1020,Crocidura caudipilosa,Shrew
1021,Crocidura cinderella,Shrew
1022,Crocidura crenata,Shrew
1023,Crocidura crossei,Shrew
1024,Crocidura cyanea,Shrew
1025,Crocidura darvishi,Shrew
1026,Crocidura denti,Shrew
1027,Crocidura dewi,Shrew
1028,Crocidura dolichura,Shrew
1029,Crocidura dongyangjiangensis,Shrew
1030,Crocidura douceti,Shrew
1031,Crocidura dracula,Shrew
1032,Crocidura dsinezumi,Shrew
1033,Crocidura eburnea,Shrew
1034,Crocidura elongata,Shrew
1035,Crocidura fingui,Shrew
1036,Crocidura flavescens,Shrew
1037,Crocidura foetida,Shrew
1038,Crocidura foxi,Shrew
1039,Crocidura fuliginosa,Shrew
1040,Crocidura fulvastra,Shrew
1041,Crocidura fumosa,Shrew
1042,Crocidura fuscomurina,Shrew
1043,Crocidura glassi,Shrew
1044,Crocidura goliath,Shrew
1045,Crocidura grandiceps,Shrew
1046,Crocidura grassei,Shrew
1047,Crocidura grayi,Shrew
1048,Crocidura harenna,Shrew
1049,Crocidura hikmiya,Shrew
1050,Crocidura hildegardeae,Shrew
1051,Crocidura hirta,Shrew
1052,Crocidura horsfieldii,Shrew
1053,Crocidura hutanis,Shrew
1054,Crocidura ichnusae,Shrew
1055,Crocidura indochinensis,Shrew
1056,Crocidura jouvenetae,Shrew
1057,Crocidura kegoensis,Shrew
1058,Crocidura kivuana,Shrew
1059,Crocidura lamottei,Shrew
1060,Crocidura lanosa,Shrew
1061,Crocidura lasiura,Shrew
1062,Crocidura latona,Shrew
1063,Crocidura lea,Shrew
1064,Crocidura lepidura,Shrew
1065,Crocidura leucodon,Shrew
1066,Crocidura levicula,Shrew
1067,Crocidura littoralis,Shrew
1068,Crocidura longipes,Shrew
1069,Crocidura lucina,Shrew
1070,Crocidura ludia,Shrew
1071,Crocidura luna,Shrew
1072,Crocidura lusitania,Shrew
1073,Crocidura macmillani,Shrew
1074,Crocidura makeda,Shrew
1075,Crocidura malayana,Shrew
1076,Crocidura maquassiensis,Shrew
1077,Crocidura mariquensis,Shrew
1078,Crocidura maurisca,Shrew
1079,Crocidura maxi,Shrew
1080,Crocidura mdumai,Shrew
1081,Crocidura mediocris,Shrew
1082,Crocidura microelongata,Shrew
1083,Crocidura mindorus,Shrew
1084,Crocidura miya,Shrew
1085,Crocidura monacha,Shrew
1086,Crocidura monax,Shrew
1087,Crocidura monticola,Shrew
1088,Crocidura montis,Shrew
1089,Crocidura munissii,Shrew
1090,Crocidura muricauda,Shrew
1091,Crocidura musseri,Shrew
1092,Crocidura mutesae,Shrew
1093,Crocidura nana,Shrew
1094,Crocidura nanilla,Shrew
1095,Crocidura neglecta,Shrew
1096,Crocidura negligens,Shrew
1097,Crocidura negrina,Shrew
1098,Crocidura newmarki,Shrew
1099,Crocidura nicobarica,Shrew
1100,Crocidura nigeriae,Shrew
1101,Crocidura nigricans,Shrew
1102,Crocidura nigripes,Shrew
1103,Crocidura nimbae,Shrew
1104,Crocidura nimbasilvanus,Shrew
1105,Crocidura ninoyi,Shrew
1106,Crocidura niobe,Shrew
1107,Crocidura normalis,Shrew
1108,Crocidura obscurior,Shrew
1109,Crocidura odorata,Shrew
1110,Crocidura olivieri,Shrew
1111,Crocidura ordinaria,Shrew
1112,Crocidura orientalis,Shrew
1113,Crocidura orii,Shrew
1114,Crocidura pachyura,Shrew
1115,Crocidura palawanensis,Shrew
1116,Crocidura pallida,Shrew
1117,Crocidura panayensis,Shrew
1118,Crocidura paradoxura,Shrew
1119,Crocidura parva,Shrew
1120,Crocidura parvipes,Shrew
1121,Crocidura pergrisea,Shrew
1122,Crocidura persica,Shrew
1123,Crocidura phaeura,Shrew
1124,Crocidura phanluongi,Shrew
1125,Crocidura phuquocensis,Shrew
1126,Crocidura poensis,Shrew
1127,Crocidura pseudorhoditis,Shrew
1128,Crocidura quasielongata,Shrew
1129,Crocidura ramona,Shrew
1130,Crocidura rapax,Shrew
1131,Crocidura rhoditis,Shrew
1132,Crocidura roosevelti,Shrew
1133,Crocidura russula,Shrew
1134,Crocidura sapaensis,Shrew
1135,Crocidura serezkyensis,Shrew
1136,Crocidura shantungensis,Shrew
1137,Crocidura sibirica,Shrew
1138,Crocidura sicula,Shrew
1139,Crocidura silacea,Shrew
1140,Crocidura similiturba,Shrew
1141,Crocidura sokolovi,Shrew
1142,Crocidura solita,Shrew
1143,Crocidura somalica,Shrew
1144,Crocidura stenocephala,Shrew
1145,Crocidura suaveolens,Shrew
1146,Crocidura tanakae,Shrew
1147,Crocidura tansaniana,Shrew
1148,Crocidura tarfayensis,Shrew
1149,Crocidura telfordi,Shrew
1150,Crocidura tenebrosa,Shrew
1151,Crocidura thalia,Shrew
1152,Crocidura theresae,Shrew
1153,Crocidura trichura,Shrew
1154,Crocidura turba,Shrew
1155,Crocidura usambarae,Shrew
1156,Crocidura viaria,Shrew
1157,Crocidura voi,Shrew
1158,Crocidura vorax,Shrew
1159,Crocidura vosmaeri,Shrew
1160,Crocidura watasei,Shrew
1161,Crocidura wimmeri,Shrew
1162,Crocidura wuchihensis,Shrew
1163,Crocidura yaldeni,Shrew
1164,Crocidura zaitsevi,Shrew
1165,Crocidura zaodon,Shrew
1166,Crocidura zarudnyi,Shrew
1167,Crocidura zimmermanni,Shrew
1168,Crocuta crocuta,Hyena
1169,Crossarchus alexandri,Mongoose
1170,Crossarchus ansorgei,Mongoose
1171,Crossarchus obscurus,Mongoose
1172,Crossarchus platycephalus,Mongoose
1174,Crossomys moncktoni,Mouse
1175,Crunomys celebensis,Mouse
1176,Crunomys fallax,Mouse
1177,Crunomys melanius,Mouse
1178,Crunomys suncoides,Mouse
1181,Cryptomys anomalus,Mole-rat
1182,Cryptomys holosericeus,Mole Rat
1183,Cryptomys hottentotus,Mole-rat
1184,Cryptomys mahali,Mole-rat
1185,Cryptomys nimrodi,Mole Rat
1186,Cryptomys pretoriae,Mole-rat
1187,Cryptonanus agricolai,Mouse
1188,Cryptonanus chacoensis,Mouse
1189,Cryptonanus guahybae,Mouse
1190,Cryptonanus unduaviensis,Mouse
1191,Cryptoprocta ferox,Fossa
1192,Cryptotis alticolus,Shrew
1193,Cryptotis berlandieri,Shrew
1194,Cryptotis celaque,Shrew
1195,Cryptotis evaristoi,Shrew
1196,Cryptotis goldmani,Shrew
1197,Cryptotis goodwini,Shrew
1198,Cryptotis gracilis,Shrew
1199,Cryptotis griseoventris,Shrew
1200,Cryptotis lacertosus,Shrew
1201,Cryptotis magnus,Shrew
1202,Cryptotis mam,Shrew
1203,Cryptotis mayensis,Shrew
1204,Cryptotis mccarthyi,Shrew
1205,Cryptotis merriami,Shrew
1206,Cryptotis mexicanus,Shrew
1207,Cryptotis montivagus,Shrew
1208,Cryptotis nelsoni,Shrew
1209,Cryptotis niausa,Shrew
1210,Cryptotis nigrescens,Shrew
1211,Cryptotis obscurus,Shrew
1212,Cryptotis oreoryctes,Shrew
1213,Cryptotis orophilus,Shrew
1214,Cryptotis parvus,Shrew
1215,Cryptotis peregrinus,Shrew
1216,Cryptotis phillipsii,Shrew
1217,Cryptotis soricinus,Shrew
1218,Cryptotis thomasi,Shrew
1219,Cryptotis tropicalis,Shrew
1220,Ctenodactylus gundi,Gundi
1262,Ctenomys minutus,Mouse
1293,Cuniculus paca,Paca
1295,Cuon alpinus,Dhole
1297,Cyclopes didactylus,Silky Anteater
1298,Cyclopes rufus,Anteater
1299,Cyclopes xinguensis,Anteater
1300,Cynictis penicillata,Mongoose
1301,Cynocephalus volans,Flying Lemur
1302,Cynogale bennetti,Otter
1303,Cynomops abrasus,Bat
1304,Cynomops greenhalli,Bat
1305,Cynomops kuizha,Bat
1306,Cynomops mexicanus,Bat
1307,Cynomops paranus,Bat
1308,Cynomops planirostris,Bat
1309,Cynomys gunnisoni,Prairie Dog
1310,Cynomys leucurus,Prairie Dog
1311,Cynomys ludovicianus,Prairie Dog
1312,Cynomys mexicanus,Prairie Dog
1313,Cynomys parvidens,Prairie Dog
1314,Cynopterus brachyotis,Bat
1315,Cynopterus horsfieldii,Bat
1316,Cynopterus nusatenggara,Bat
1317,Cynopterus sphinx,Bat
1318,Cynopterus titthaecheilus,Bat
1319,Cystophora cristata,Hooded Seal
1320,Cyttarops alecto,Bat
1321,Dacnomys millardi,Mouse
1326,Dactylopsila trivirgata,Striped Possum
1327,Dama dama,Fallow Deer
1328,Dama mesopotamica,Fallow Deer
1329,Damaliscus lunatus,Hartebeest
1330,Damaliscus pygargus,Antelope
1331,Daptomys ferreirai,Mouse
1332,Daptomys mussoi,Mouse
1333,Dasycercus blythi,Marsupial Mouse
1336,Dasymys incomtus,Mouse
1337,Dasymys montanus,Mouse
1338,Dasymys rufulus,Mouse
1339,Dasyprocta azarae,Agouti
1340,Dasyprocta fuliginosa,Agouti
1341,Dasyprocta kalinowski,Agouti
1342,Dasyprocta leporina,Agouti
1343,Dasyprocta punctata,Agouti
1344,Dasyprocta ruatanica,Agouti
1345,Dasypus bellus,Armadillo
1346,Dasypus beniensis,Armadillo
1347,Dasypus guianensis,Armadillo
1348,Dasypus hybridus,Armadillo
1349,Dasypus kappleri,Armadillo
1350,Dasypus novemcinctus,Armadillo
1351,Dasypus pastasae,Armadillo
1352,Dasypus pilosus,Armadillo
1353,Dasypus sabanicola,Armadillo
1354,Dasypus septemcinctus,Armadillo
1355,Dasypus yepesi,Armadillo
1356,Dasyuroides byrnei,Marsupial Mouse
1357,Dasyurus albopunctatus,Quoll
1358,Dasyurus geoffroii,Quoll
1359,Dasyurus hallucatus,Quoll
1360,Dasyurus maculatus,Quoll
1361,Dasyurus spartacus,Quoll
1362,Dasyurus viverrinus,Quoll
1363,Daubentonia madagascariensis,Aye-aye
1364,Delanymys brooksi,Mouse
1365,Delomys altimontanus,Mouse
1366,Delomys collinus,Mouse
1367,Delomys dorsalis,Mouse
1368,Delomys sublineatus,Mouse
1369,Delphinapterus leucas,Beluga Whale
1370,Delphinus bairdii,Dolphin
1371,Delphinus capensis,Dolphin
1372,Delphinus delphis,Dolphin
1373,Delphinus tropicalis,Dolphin
1374,Deltamys araucaria,Mouse
1375,Deltamys kempi,Mouse
1376,Dendrogale melanura,Tree Shrew
1377,Dendrogale murina,Tree Shrew
1378,Dendrohyrax arboreus,Hyrax
1379,Dendrohyrax dorsalis,Hyrax
1380,Dendrohyrax interfluvialis,Hyrax
1381,Dendrolagus bennettianus,Tree Kangaroo
1382,Dendrolagus dorianus,Tree Kangaroo
1383,Dendrolagus goodfellowi,Tree Kangaroo
1384,Dendrolagus inustus,Tree Kangaroo
1385,Dendrolagus lumholtzi,Tree Kangaroo
1386,Dendrolagus matschiei,Tree Kangaroo
1387,Dendrolagus mbaiso,Tree Kangaroo
1388,Dendrolagus notatus,Tree Kangaroo
1389,Dendrolagus pulcherrimus,Tree Kangaroo
1390,Dendrolagus scottae,Tree Kangaroo
1391,Dendrolagus spadix,Tree Kangaroo
1392,Dendrolagus stellarum,Tree Kangaroo
1393,Dendrolagus ursinus,Tree Kangaroo
1394,Dendromus insignis,Mouse
1395,Dendromus kumasi,Mouse
1396,Dendromus lachaisei,Mouse
1397,Dendromus lovati,Mouse
1398,Dendromus melanotis,Mouse
1399,Dendromus mesomelas,Mouse
1400,Dendromus messorius,Mouse
1401,Dendromus mystacalis,Mouse
1402,Dendromus nikolausi,Mouse
1403,Dendromus nyasae,Mouse
1404,Dendromus nyikae,Mouse
1405,Dendromus oreas,Mouse
1406,Dendromus pecilei,Mouse
1407,Dendromus ruppi,Mouse
1408,Deomys ferrugineus,Mouse
1409,Dephomys defua,Mouse
1410,Dermanura bogotensis,Bat
1411,Dermanura gnomus,Bat
1412,Dermanura incomitata,Bat
1413,Dermanura phaeotis,Bat
1414,Dermanura rava,Bat
1415,Desmalopex leucoptera,Bat
1416,Desmalopex microleucoptera,Bat
1417,Desmana moschata,Russian Desman
1418,Desmodilliscus braueri,Mouse
1419,Desmodillus auricularis,Mouse
1420,Desmodus rotundus,Vampire Bat
1421,Desmomys harringtoni,Mouse
1422,Diaemus youngi,Bat
1423,Dicerorhinus sumatrensis,Sumatran Rhinoceros
1424,Diceros bicornis,Black Rhinoceros
1425,Diclidurus albus,Bat
1426,Diclidurus ingens,Bat
1427,Diclidurus isabella,Bat
1428,Diclidurus scutatus,Bat
1429,Dicotyles tajacu,Peccary
1430,Dicrostonyx groenlandicus,Lemming
1431,Dicrostonyx hudsonius,Lemming
1432,Dicrostonyx richardsoni,Lemming
1433,Dicrostonyx torquatus,Lemming
1434,Didelphis albiventris,Opossum
1435,Didelphis aurita,Opossum
1436,Didelphis imperfecta,Opossum
1437,Didelphis marsupialis,Opossum
1438,Didelphis pernigra,Opossum
1439,Didelphis virginiana,Opossum
1440,Dinaromys bogdanovi,Mouse
1441,Dinomys branickii,Pacarana
1442,Diphylla ecaudata,Bat
1444,Diplomesodon pulchellum,Shrew
1446,Diplothrix legata,Rat
1447,Dipodillus campestris,Mouse
1448,Dipodillus dasyurus,Mouse
1449,Dipodillus rupicola,Mouse
1450,Dipodillus simoni,Mouse
1451,Dipodomys agilis,Kangaroo Rat
1452,Dipodomys californicus,Kangaroo Rat
1453,Dipodomys compactus,Kangaroo Rat
1454,Dipodomys deserti,Kangaroo Rat
1455,Dipodomys elator,Kangaroo Rat
1456,Dipodomys elephantinus,Kangaroo Rat
1457,Dipodomys gravipes,Kangaroo Rat
1458,Dipodomys heermanni,Kangaroo Rat
1459,Dipodomys ingens,Kangaroo Rat
1460,Dipodomys insularis,Kangaroo Rat
1461,Dipodomys merriami,Kangaroo Rat
1462,Dipodomys microps,Kangaroo Rat
1463,Dipodomys nelsoni,Kangaroo Rat
1464,Dipodomys nitratoides,Kangaroo Rat
1465,Dipodomys ordii,Kangaroo Rat
1466,Dipodomys panamintinus,Kangaroo Rat
1467,Dipodomys phillipsii,Kangaroo Rat
1468,Dipodomys simulans,Kangaroo Rat
1469,Dipodomys spectabilis,Kangaroo Rat
1470,Dipodomys stephensi,Kangaroo Rat
1471,Dipodomys venustus,Kangaroo Rat
1472,Dipus deasyi,Jerboa
1473,Dipus sagitta,Jerboa
1475,Dobsonia andersoni,Bat
1476,Dobsonia inermis,Bat
1477,Dobsonia magna,Bat
1478,Dobsonia minor,Bat
1479,Dobsonia moluccensis,Bat
1480,Dobsonia pannietensis,Bat
1481,Dobsonia praedatrix,Bat
1482,Dobsonia viridis,Bat
1483,Dolichotis patagonum,Patagonian Mara
1485,Dorcatragus megalotis,Antelope
1486,Dorcopsis hageni,Kangaroo
1487,Dorcopsis veterum,Kangaroo
1489,Doryrhina camerunensis,Bat
1490,Doryrhina cyclops,Bat
1491,Dremomys everetti,Squirrel
1492,Dremomys gularis,Squirrel
1493,Dremomys lokriah,Squirrel
1494,Dremomys pernyi,Squirrel
1495,Dremomys pyrrhomerus,Squirrel
1496,Dremomys rufigenis,Squirrel
1499,Drymoreomys albimaculatus,Mouse
1500,Dryomys laniger,Dormouse
1501,Dryomys nitedula,Dormouse
1502,Dugong dugon,Dugong
1505,Dyacopterus rickarti,Bat
1506,Dyacopterus spadiceus,Bat
1507,Dymecodon pilirostris,Shrew
1510,Echinops telfairi,Hedgehog
1511,Echinosciurus colliaei,Squirrel
1512,Echinosciurus yucatanensis,Squirrel
1513,Echinosorex gymnura,Moonrat
1514,Echiothrix centrosa,Rat
1515,Echiothrix leucura,Rat
1517,Echymipera kalubu,Bandicoot
1518,Echymipera rufescens,Bandicoot
1519,Ectophylla alba,Bat
1520,Eidolon dupreanum,Bat
1521,Eidolon helvum,Bat
1522,Eira barbara,Tayra
1523,Elaphodus cephalophus,Tufted Deer
1524,Elaphurus davidianus,Père David's Deer
1525,Elasmodontomys obliquus,Mouse
1527,Elephantulus brachyrhynchus,Elephant Shrew
1528,Elephantulus edwardii,Elephant Shrew
1529,Elephantulus fuscipes,Elephant Shrew
1530,Elephantulus fuscus,Elephant Shrew
1531,Elephantulus intufi,Elephant Shrew
1532,Elephantulus myurus,Elephant Shrew
1533,Elephantulus pilicaudus,Elephant Shrew
1534,Elephantulus rupestris,Elephant Shrew
1535,Elephas antiquus,Elephant
1536,Elephas cypriotes,Elephant
1537,Elephas maximus,Elephant
1538,Eligmodontia bolsonensis,Mouse
1539,Eligmodontia hirtipes,Mouse
1540,Eligmodontia moreni,Mouse
1541,Eligmodontia morgani,Mouse
1542,Eligmodontia puerulus,Mouse
1543,Eligmodontia typus,Mouse
1544,Eliomys melanurus,Dormouse
1545,Eliomys quercinus,Dormouse
1546,Eliurus antsingy,Mouse
1547,Eliurus carletoni,Mouse
1548,Eliurus ellermani,Mouse
1549,Eliurus grandidieri,Mouse
1550,Eliurus majori,Mouse
1551,Eliurus minor,Mouse
1552,Eliurus myoxinus,Mouse
1553,Eliurus tanala,Mouse
1554,Eliurus tsingimbato,Mouse
1555,Eliurus webbi,Mouse
1556,Ellobius alaicus,Mouse
1557,Ellobius talpinus,Mole Vole
1558,Ellobius tancrei,Mouse
1559,Emballonura alecto,Bat
1560,Emballonura beccarii,Bat
1561,Emballonura dianae,Bat
1562,Emballonura monticola,Bat
1563,Emballonura raffrayana,Bat
1564,Emballonura semicaudata,Bat
1565,Emballonura serii,Bat
1566,Enhydra lutris,Sea Otter
1567,Eoglaucomys fimbriatus,Squirrel
1568,Eolagurus luteus,Mouse
1569,Eolagurus przewalskii,Mouse
1570,Eonycteris major,Bat
1571,Eonycteris robusta,Bat
1572,Eonycteris spelaea,Bat
1573,Eospalax fontanierii,Mole
1574,Eospalax rothschildi,Mole
1575,Eospalax rufescens,Mole
1576,Eospalax smithii,Mole
1577,Eothenomys cachinus,Mouse
1578,Eothenomys colurnus,Mouse
1579,Eothenomys eleusis,Mouse
1580,Eothenomys eva,Mouse
1581,Eothenomys imaizumii,Mouse
1582,Eothenomys inez,Mouse
1583,Eothenomys luojishanensis,Mouse
1584,Eothenomys melanogaster,Mouse
1585,Eothenomys miletus,Mouse
1586,Eothenomys shimianensis,Mouse
1587,Eozapus setchuanus,Mouse
1588,Episoriculus caudatus,Shrew
1589,Episoriculus leucops,Shrew
1590,Episoriculus macrurus,Shrew
1591,Episoriculus soluensis,Shrew
1592,Episoriculus umbrinus,Shrew
1593,Epixerus wilsoni,Squirrel
1594,Epomophorus anselli,Bat
1595,Epomophorus crypturus,Bat
1596,Epomophorus dobsonii,Bat
1597,Epomophorus gambianus,Bat
1598,Epomophorus labiatus,Bat
1599,Epomophorus minor,Bat
1600,Epomophorus pusillus,Bat
1601,Epomophorus wahlbergi,Bat
1602,Epomops buettikoferi,Bat
1603,Epomops franqueti,Bat
1604,Eptesicus dutertreus,Bat
1605,Eptesicus fuscus,Bat
1606,Equus asinus,Donkey
1607,Equus caballus,Horse
1609,Equus dalianensis,Horse
1610,Equus ferus,Horse
1611,Equus grevyi,Zebra
1612,Equus hemionus,Wild Ass
1613,Equus hydruntinus,Horse
1614,Equus kiang,Kiang
1615,Equus lambei,Horse
1616,Equus mosbachensis,Horse
1617,Equus neogeus,Horse
1619,Equus przewalskii,Przewalski's Horse
1620,Equus quagga,Zebra
1621,Equus scotti,Horse
1622,Equus zebra,Zebra
1623,Eremitalpa granti,Mole
1624,Eremodipus lichtensteini,Jerboa
1625,Eremoryzomys polius,Mouse
1626,Erethizon dorsatum,Porcupine
1627,Erignathus barbatus,Bearded Seal
1628,Erinaceus amurensis,Hedgehog
1629,Erinaceus concolor,Hedgehog
1630,Erinaceus europaeus,Hedgehog
1631,Erinaceus roumanicus,Hedgehog
1633,Erophylla bombifrons,Bat
1634,Erophylla sezekorni,Bat
1635,Erythrocebus patas,Monkey
1636,Eschrichtius robustus,Gray Whale
1637,Eubalaena australis,Whale
1638,Eubalaena glacialis,Whale
1639,Eubalaena japonica,Whale
1640,Euchoreutes naso,Jerboa
1641,Euderma maculatum,Bat
1642,Eudiscopus denticulus,Bat
1643,Eudorcas rufifrons,Gazelle
1644,Eudorcas thomsonii,Thomson's Gazelle
1645,Eulemur albifrons,Lemur
1646,Eulemur cinereiceps,Lemur
1647,Eulemur coronatus,Lemur
1648,Eulemur flavifrons,Lemur
1649,Eulemur fulvus,Lemur
1650,Eulemur macaco,Lemur
1651,Eulemur mongoz,Lemur
1652,Eulemur rubriventer,Red-bellied Lemur
1653,Eulemur rufifrons,Lemur
1654,Eulemur rufus,Lemur
1655,Eulemur sanfordi,Lemur
1656,Eumetopias jubatus,Steller sea lion
1657,Eumops auripendulus,Bat
1658,Eumops bonariensis,Bat
1659,Eumops chimaera,Bat
1660,Eumops dabbenei,Bat
1661,Eumops ferox,Bat
1662,Eumops glaucinus,Bat
1663,Eumops hansae,Bat
1664,Eumops maurus,Bat
1665,Eumops nanus,Bat
1666,Eumops patagonicus,Bat
1667,Eumops perotis,Bat
1668,Eumops underwoodi,Bat
1669,Eumops wilsoni,Bat
1670,Euneomys chinchilloides,Mouse
1671,Euneomys fossor,Mouse
1672,Euneomys mordax,Mouse
1674,Eupetaurus cinereus,Flying Squirrel
1675,Eupetaurus nivamons,Flying Squirrel
1676,Euphractus sexcinctus,Armadillo
1678,Euroscaptor grandis,Mole
1679,Euroscaptor klossi,Mole
1680,Euroscaptor kuznetsovi,Mole
1681,Euroscaptor longirostris,Mole
1682,Euroscaptor malayana,Mole
1683,Euroscaptor micrura,Mole
1684,Euroscaptor orlovi,Mole
1685,Euroscaptor parvidens,Mole
1686,Euroscaptor subanura,Mole
1687,Euryoryzomys emmonsae,Mouse
1688,Euryoryzomys lamia,Mouse
1689,Euryoryzomys legatus,Mouse
1690,Euryoryzomys macconnelli,Mouse
1691,Euryoryzomys nitidus,Mouse
1692,Euryoryzomys russatus,Mouse
1693,Euryzygomatomys spinosus,Mouse
1694,Exilisciurus concinnus,Squirrel
1695,Exilisciurus exilis,Squirrel
1696,Exilisciurus whiteheadi,Squirrel
1697,Falsistrellus mackenziei,Bat
1698,Falsistrellus tasmaniensis,Bat
1699,Felis catus,Cat
1700,Felis chaus,Jungle Cat
1701,Felis margarita,Sand Cat
1702,Felis nigripes,Black-footed Cat
1703,Felis silvestris,Wildcat
