number,scientific_name,japanese_common_name
1440,Dinaromys bogdanovi,ネズミ
1441,Dinomys branickii,ネズミ
1442,Diphylla ecaudata,コウモリ
1444,Diplomesodon pulchellum,モグラ
1445,Diplomys labilis,ネズミ
1446,Diplothrix legata,ネズミ
1447,Dipodillus campestris,ネズミ
1448,Dipodillus dasyurus,ネズミ
1449,Dipodillus rupicola,ネズミ
1450,Dipodillus simoni,ネズミ
1451,Dipodomys agilis,カンガルーネズミ
1452,Dipodomys californicus,カンガルーネズミ
1453,Dipodomys compactus,カンガルーネズミ
1454,Dipodomys deserti,カンガルーネズミ
1455,Dipodomys elator,カンガルーネズミ
1456,Dipodomys elephantinus,カンガルーネズミ
1457,Dipodomys gravipes,カンガルーネズミ
1458,Dipodomys heermanni,カンガルーネズミ
1459,Dipodomys ingens,カンガルーネズミ
1460,Dipodomys insularis,カンガルーネズミ
1461,Dipodomys merriami,カンガルーネズミ
1462,Dipodomys microps,カンガルーネズミ
1463,Dipodomys nelsoni,カンガルーネズミ
1464,Dipodomys nitratoides,カンガルーネズミ
1465,Dipodomys ordii,カンガルーネズミ
1466,Dipodomys panamintinus,カンガルーネズミ
1467,Dipodomys phillipsii,カンガルーネズミ
1468,Dipodomys simulans,カンガルーネズミ
1469,Dipodomys spectabilis,カンガルーネズミ
1470,Dipodomys stephensi,カンガルーネズミ
1471,Dipodomys venustus,カンガルーネズミ
1472,Dipus deasyi,ネズミ
1473,Dipus sagitta,ネズミ
1475,Dobsonia andersoni,コウモリ
1476,Dobsonia inermis,コウモリ
1477,Dobsonia magna,コウモリ
1478,Dobsonia minor,コウモリ
1479,Dobsonia moluccensis,コウモリ
1480,Dobsonia pannietensis,コウモリ
1481,Dobsonia praedatrix,コウモリ
1482,Dobsonia viridis,コウモリ
1483,Dolichotis patagonum,マーラ
1486,Dorcopsis hageni,カンガルー
1489,Doryrhina camerunensis,コウモリ
1490,Doryrhina cyclops,コウモリ
1491,Dremomys everetti,リス
1492,Dremomys gularis,リス
1493,Dremomys lokriah,リス
1494,Dremomys pernyi,リス
1495,Dremomys pyrrhomerus,リス
1496,Dremomys rufigenis,リス
1499,Drymoreomys albimaculatus,ネズミ
1500,Dryomys laniger,ネズミ
1501,Dryomys nitedula,リス
1502,Dugong dugon,ジュゴン
1503,Dusicyon australis,オオカミ
1505,Dyacopterus rickarti,コウモリ
1506,Dyacopterus spadiceus,コウモリ
1507,Dymecodon pilirostris,モグラ
1508,Echimys chrysurus,ネズミ
1509,Echimys saturnus,ネズミ
1510,Echinops telfairi,ハリネズミ
1511,Echinosciurus colliaei,リス
1512,Echinosciurus yucatanensis,リス
1514,Echiothrix centrosa,ネズミ
1515,Echiothrix leucura,ネズミ
1519,Ectophylla alba,コウモリ
1520,Eidolon dupreanum,コウモリ
1521,Eidolon helvum,コウモリ
1522,Eira barbara,イタチ
1524,Elaphurus davidianus,シカ
1525,Elasmodontomys obliquus,ネズミ
1527,Elephantulus brachyrhynchus,ゾウムシ
1528,Elephantulus edwardii,ネズミ
1529,Elephantulus fuscipes,ネズミ
1530,Elephantulus fuscus,ゾウムシ
1532,Elephantulus myurus,ネズミ
1533,Elephantulus pilicaudus,ネズミ
1535,Elephas antiquus,ゾウ
1536,Elephas cypriotes,ゾウ
1537,Elephas maximus,ゾウ
1538,Eligmodontia bolsonensis,ネズミ
1539,Eligmodontia hirtipes,ネズミ
1540,Eligmodontia moreni,ネズミ
1541,Eligmodontia morgani,ネズミ
1542,Eligmodontia puerulus,ネズミ
1543,Eligmodontia typus,ネズミ
1544,Eliomys melanurus,ネズミ
1545,Eliomys quercinus,ヤマネ
1546,Eliurus antsingy,ネズミ
1547,Eliurus carletoni,ネズミ
1548,Eliurus ellermani,ネズミ
1549,Eliurus grandidieri,ネズミ
1550,Eliurus majori,ネズミ
1551,Eliurus minor,ネズミ
1552,Eliurus myoxinus,ネズミ
1553,Eliurus tanala,ネズミ
1554,Eliurus tsingimbato,ネズミ
1555,Eliurus webbi,ネズミ
1556,Ellobius alaicus,ネズミ
1557,Ellobius talpinus,モグラ
1558,Ellobius tancrei,ネズミ
1559,Emballonura alecto,コウモリ
1560,Emballonura beccarii,コウモリ
1561,Emballonura dianae,コウモリ
1562,Emballonura monticola,コウモリ
1563,Emballonura raffrayana,コウモリ
1564,Emballonura semicaudata,コウモリ
1565,Emballonura serii,コウモリ
1566,Enhydra lutris,ラッコ
1567,Eoglaucomys fimbriatus,リス
1568,Eolagurus luteus,ネズミ
1569,Eolagurus przewalskii,ネズミ
1570,Eonycteris major,コウモリ
1571,Eonycteris robusta,コウモリ
1572,Eonycteris spelaea,コウモリ
1573,Eospalax fontanierii,モグラ
1574,Eospalax rothschildi,モグラ
1575,Eospalax rufescens,モグラ
1576,Eospalax smithii,モグラ
1577,Eothenomys cachinus,ネズミ
1578,Eothenomys colurnus,ネズミ
1579,Eothenomys eleusis,ネズミ
1580,Eothenomys eva,ネズミ
1581,Eothenomys imaizumii,ネズミ
1582,Eothenomys inez,ネズミ
1583,Eothenomys luojishanensis,ネズミ
1584,Eothenomys melanogaster,ネズミ
1585,Eothenomys miletus,ネズミ
1586,Eothenomys shimianensis,ネズミ
1587,Eozapus setchuanus,ネズミ
1588,Episoriculus caudatus,モグラ
1589,Episoriculus leucops,モグラ
1590,Episoriculus macrurus,モグラ
1591,Episoriculus soluensis,モグラ
1592,Episoriculus umbrinus,モグラ
1593,Epixerus wilsoni,リス
1594,Epomophorus anselli,コウモリ
1595,Epomophorus crypturus,コウモリ
1596,Epomophorus dobsonii,コウモリ
1597,Epomophorus gambianus,コウモリ
1598,Epomophorus labiatus,コウモリ
1599,Epomophorus minor,コウモリ
1600,Epomophorus pusillus,コウモリ
1601,Epomophorus wahlbergi,コウモリ
1602,Epomops buettikoferi,コウモリ
1603,Epomops franqueti,コウモリ
1604,Eptesicus dutertreus,コウモリ
1605,Eptesicus fuscus,コウモリ
1606,Equus asinus,ロバ
1607,Equus caballus,ウマ
1608,Equus capensis,ウマ
1609,Equus dalianensis,ウマ
1610,Equus ferus,ウマ
1611,Equus grevyi,シマウマ
1612,Equus hemionus,ロバ
1613,Equus hydruntinus,ウマ
1614,Equus kiang,ロバ
1615,Equus lambei,ウマ
1616,Equus mosbachensis,ウマ
1617,Equus neogeus,ウマ
1618,Equus ovodovi,ウマ
1619,Equus przewalskii,ウマ
1620,Equus quagga,シマウマ
1621,Equus scotti,ウマ
1622,Equus zebra,シマウマ
1623,Eremitalpa granti,モグラ
1624,Eremodipus lichtensteini,ネズミ
1625,Eremoryzomys polius,ネズミ
1626,Erethizon dorsatum,ヤマアラシ
1627,Erignathus barbatus,アザラシ
1628,Erinaceus amurensis,ハリネズミ
1629,Erinaceus concolor,ハリネズミ
1630,Erinaceus europaeus,ハリネズミ
1631,Erinaceus roumanicus,ハリネズミ
1632,Eropeplus canus,ネズミ
1633,Erophylla bombifrons,コウモリ
1634,Erophylla sezekorni,コウモリ
1635,Erythrocebus patas,サル
1636,Eschrichtius robustus,クジラ
1637,Eubalaena australis,クジラ
1638,Eubalaena glacialis,クジラ
1639,Eubalaena japonica,クジラ
1640,Euchoreutes naso,ネズミ
1641,Euderma maculatum,コウモリ
1642,Eudiscopus denticulus,コウモリ
1643,Eudorcas rufifrons,ガゼル
1644,Eudorcas thomsonii,ガゼル
1645,Eulemur albifrons,サル
1646,Eulemur cinereiceps,サル
1647,Eulemur coronatus,サル
1648,Eulemur flavifrons,サル
1649,Eulemur fulvus,サル
1650,Eulemur macaco,サル
1651,Eulemur mongoz,サル
1652,Eulemur rubriventer,サル
1653,Eulemur rufifrons,サル
1654,Eulemur rufus,キツネザル
1655,Eulemur sanfordi,サル
1656,Eumetopias jubatus,アシカ
1657,Eumops auripendulus,コウモリ
1658,Eumops bonariensis,コウモリ
1659,Eumops chimaera,コウモリ
1660,Eumops dabbenei,コウモリ
1661,Eumops ferox,コウモリ
1662,Eumops glaucinus,コウモリ
1663,Eumops hansae,コウモリ
1664,Eumops maurus,コウモリ
1665,Eumops nanus,コウモリ
1666,Eumops patagonicus,コウモリ
1667,Eumops perotis,コウモリ
1668,Eumops underwoodi,コウモリ
1669,Eumops wilsoni,コウモリ
1670,Euneomys chinchilloides,ネズミ
1671,Euneomys fossor,ネズミ
1672,Euneomys mordax,ネズミ
1674,Eupetaurus cinereus,リス
1675,Eupetaurus nivamons,リス
1676,Euphractus sexcinctus,アルマジロ
1678,Euroscaptor grandis,モグラ
1679,Euroscaptor klossi,モグラ
1680,Euroscaptor kuznetsovi,モグラ
1681,Euroscaptor longirostris,モグラ
1682,Euroscaptor malayana,モグラ
1683,Euroscaptor micrura,モグラ
1684,Euroscaptor orlovi,モグラ
1685,Euroscaptor parvidens,モグラ
1686,Euroscaptor subanura,モグラ
1687,Euryoryzomys emmonsae,ネズミ
1688,Euryoryzomys lamia,ネズミ
1689,Euryoryzomys legatus,ネズミ
1690,Euryoryzomys macconnelli,ネズミ
1691,Euryoryzomys nitidus,ネズミ
1692,Euryoryzomys russatus,ネズミ
1693,Euryzygomatomys spinosus,ネズミ
1694,Exilisciurus concinnus,リス
1695,Exilisciurus exilis,リス
1696,Exilisciurus whiteheadi,リス
1697,Falsistrellus mackenziei,コウモリ
1698,Falsistrellus tasmaniensis,コウモリ
1699,Felis catus,ネコ
1700,Felis chaus,ヤマネコ
1701,Felis margarita,スナネコ
1702,Felis nigripes,ネコ
1703,Felis silvestris,ネコ
1705,Feresa attenuata,クジラ
1706,Feroculus feroculus,ネズミ
1708,Frateromys fratrorum,ネズミ
1709,Fukomys amatus,モグラ
1710,Fukomys anselli,モグラ
1711,Fukomys bocagei,モグラ
1712,Fukomys choma,モグラ
1713,Fukomys damarensis,モグラ
1714,Fukomys darlingi,モグラ
1715,Fukomys foxi,モグラ
1716,Fukomys hanangensis,モグラ
1717,Fukomys kafuensis,モグラ
1718,Fukomys livingstoni,モグラ
1719,Fukomys mechowii,モグラ
1720,Fukomys micklemi,モグラ
1721,Fukomys ochraceocinereus,モグラ
1722,Fukomys whytei,モグラ
1723,Fukomys zechi,モグラ
1724,Funambulus layardi,リス
1725,Funambulus palmarum,リス
1726,Funambulus pennantii,リス
1727,Funambulus sublineatus,リス
1728,Funambulus tristriatus,リス
1729,Funisciurus anerythrus,リス
1730,Funisciurus carruthersi,リス
1731,Funisciurus pyrropus,リス
1732,Furipterus horrens,コウモリ
1733,Galago alleni,ガラゴ
1734,Galago gabonensis,ガラゴ
1735,Galago gallarum,ガラゴ
1737,Galago moholi,サル
1738,Galago senegalensis,ガラゴ
1739,Galagoides cocos,サル
1740,Galagoides demidoff,サル
1741,Galagoides orinus,サル
1742,Galagoides rondoensis,サル
1743,Galagoides thomasi,サル
1744,Galea monasteriensis,モルモット
1745,Galea musteloides,モルモット
1746,Galea spixii,モルモット
1749,Galemys pyrenaicus,モグラ
1750,Galenomys garleppii,ネズミ
1751,Galeopterus variegatus,ムササビ
1752,Galerella nigrata,マングース
1753,Galerella pulverulenta,マングース
1754,Galerella sanguinea,マングース
1755,Galictis cuja,イタチ
1756,Galictis vittata,イタチ
1760,Gardnerycteris crenulata,コウモリ
1761,Gardnerycteris keenani,コウモリ
1762,Gardnerycteris koepckeae,コウモリ
1763,Gazella arabica,ガゼル
1764,Gazella bennettii,ガゼル
1765,Gazella cuvieri,ガゼル
1766,Gazella dorcas,ガゼル
1767,Gazella erlangeri,ガゼル
1768,Gazella gazella,ガゼル
1769,Gazella leptoceros,ガゼル
1770,Gazella saudiya,ガゼル
1771,Gazella spekei,ガゼル
1772,Gazella subgutturosa,ガゼル
1778,Genetta genetta,ジャネット
1790,Geocapromys ingrahami,ネズミ
1792,Geogale aurita,ネズミ
1793,Geomys arenarius,モグラ
1794,Geomys attwateri,モグラ
1795,Geomys brazensis,モグラ
1796,Geomys breviceps,モグラ
1797,Geomys bursarius,モグラ
1799,Geomys knoxjonesi,ネズミ
1800,Geomys personatus,モグラ
1801,Geomys pinetis,モグラ
1802,Geomys streckeri,モグラ
1803,Geomys texensis,モグラ
1804,Geomys tropicalis,モグラ
1805,Georychus capensis,モグラ
1806,Geoxus annectens,ネズミ
1807,Geoxus lafkenche,ネズミ
1808,Geoxus michaelseni,ネズミ
1809,Geoxus valdivianus,ネズミ
1810,Gerbilliscus afer,ネズミ
1811,Gerbilliscus boehmi,ネズミ
1812,Gerbilliscus brantsii,ネズミ
1813,Gerbilliscus gambianus,ネズミ
1814,Gerbilliscus guineae,ネズミ
1815,Gerbilliscus inclusus,ネズミ
1816,Gerbilliscus kempi,ネズミ
1817,Gerbilliscus leucogaster,ネズミ
1818,Gerbilliscus nigricaudus,ネズミ
1819,Gerbilliscus phillipsi,ネズミ
1820,Gerbilliscus robustus,ネズミ
1821,Gerbilliscus taborae,ネズミ
1822,Gerbilliscus validus,ネズミ
1823,Gerbilliscus vicinus,ネズミ
1824,Gerbillurus paeba,ネズミ
1825,Gerbillurus setzeri,ネズミ
1826,Gerbillurus tytonis,ネズミ
1827,Gerbillurus vallinus,ネズミ
1828,Gerbillus amoenus,ネズミ
1829,Gerbillus andersoni,ネズミ
1830,Gerbillus cheesmani,ネズミ
1831,Gerbillus floweri,ネズミ
1832,Gerbillus gerbillus,ネズミ
1833,Gerbillus henleyi,ネズミ
1834,Gerbillus hesperinus,ネズミ
1835,Gerbillus hoogstrali,ネズミ
1836,Gerbillus latastei,ネズミ
1837,Gerbillus mesopotamiae,ネズミ
1838,Gerbillus nancillus,ネズミ
1839,Gerbillus nanus,ネズミ
1840,Gerbillus nigeriae,ネズミ
1841,Gerbillus occiduus,ネズミ
1842,Gerbillus perpallidus,ネズミ
1843,Gerbillus poecilops,ネズミ
1844,Gerbillus pusillus,ネズミ
1845,Gerbillus pyramidum,ネズミ
1846,Gerbillus tarabuli,ネズミ
1847,Giraffa camelopardalis,キリン
1848,Giraffa giraffa,キリン
1849,Giraffa reticulata,キリン
1850,Giraffa tippelskirchi,キリン
1851,Glaucomys oregonensis,リス
1852,Glaucomys sabrinus,モモンガ
1853,Glaucomys volans,モモンガ
1854,Glauconycteris alboguttata,コウモリ
1855,Glauconycteris argentata,コウモリ
1856,Glauconycteris atra,コウモリ
1857,Glauconycteris beatrix,コウモリ
1858,Glauconycteris curryae,コウモリ
1859,Glauconycteris egeria,コウモリ
1860,Glauconycteris humeralis,コウモリ
1861,Glauconycteris poensis,コウモリ
1862,Glauconycteris superba,コウモリ
1863,Glauconycteris variegata,コウモリ
1865,Glirulus japonicus,ヤマネ
1866,Glis glis,ヤマネ
1867,Glischropus aquilus,コウモリ
1868,Glischropus bucephalus,コウモリ
1869,Glischropus tylopus,コウモリ
1870,Globicephala macrorhynchus,クジラ
1871,Globicephala melas,クジラ
1872,Glossophaga commissarisi,コウモリ
1873,Glossophaga leachii,コウモリ
1874,Glossophaga longirostris,コウモリ
1875,Glossophaga morenoi,コウモリ
1876,Glossophaga mutica,コウモリ
1877,Glossophaga soricina,コウモリ
1879,Glyphonycteris daviesi,コウモリ
1880,Glyphonycteris sylvestris,コウモリ
1881,Glyphotes simus,サル
1882,Golunda ellioti,ネズミ
1883,Gorilla beringei,ゴリラ
1884,Gorilla gorilla,ゴリラ
1885,Gracilimus radix,ネズミ
1892,Grammomys cometes,ネズミ
1893,Grammomys dolichurus,ネズミ
1894,Grammomys dryas,ネズミ
1895,Grammomys gazellae,ネズミ
1896,Grammomys ibeanus,ネズミ
1897,Grammomys macmillani,ネズミ
1898,Grammomys poensis,ネズミ
1899,Grammomys polionops,ネズミ
1900,Grammomys selousi,ネズミ
1901,Grammomys surdaster,ネズミ
1902,Grampus griseus,イルカ
1903,Graomys centralis,ネズミ
1904,Graomys chacoensis,ネズミ
1905,Graomys domorum,ネズミ
1906,Graomys griseoflavus,ネズミ
1907,Graphiurus kelleni,ネズミ
1908,Graphiurus lorraineus,ネズミ
1909,Graphiurus microtis,ネズミ
1910,Graphiurus murinus,ネズミ
1911,Graphiurus ocularis,ネズミ
1912,Graphiurus platyops,ネズミ
1913,Guerlinguetus aestuans,リス
1914,Guerlinguetus brasiliensis,リス
1915,Gulo gulo,クズリ
1917,Gymnuromys roberti,ネズミ
1918,Habromys chinanteco,ネズミ
1919,Habromys delicatulus,ネズミ
1920,Habromys ixtlani,ネズミ
1921,Habromys lepturus,ネズミ
1922,Habromys lophurus,ネズミ
1923,Habromys schmidlyi,ネズミ
1924,Habromys simulatus,ネズミ
1926,Hadrosciurus igniventris,リス
1927,Hadrosciurus pyrrhinus,リス
1928,Hadrosciurus spadiceus,リス
1929,Haeromys minahassae,ネズミ
1930,Halichoerus grypus,アザラシ
1931,Halmaheramys bokimekot,ネズミ
1932,Halmaheramys wallacei,ネズミ
1933,Handleyomys alfaroi,ネズミ
1934,Handleyomys chapmani,ネズミ
1935,Handleyomys fuscatus,ネズミ
1936,Handleyomys guerrerensis,ネズミ
1937,Handleyomys intectus,ネズミ
1938,Handleyomys melanotis,ネズミ
1939,Handleyomys rhabdops,ネズミ
1940,Handleyomys rostratus,ネズミ
1941,Handleyomys saturatior,ネズミ
1942,Hapalemur alaotrensis,サル
1943,Hapalemur aureus,サル
1944,Hapalemur gilberti,サル
1945,Hapalemur griseus,サル
1946,Hapalemur meridionalis,サル
1947,Hapalemur occidentalis,サル
1948,Hapalomys delacouri,ネズミ
1949,Hapalomys longicaudatus,ネズミ
1950,Hapalomys suntsovi,ネズミ
1951,Haplonycteris fischeri,コウモリ
1952,Haringtonhippus francisci,ウマ
1953,Harpiocephalus harpia,コウモリ
1954,Harpiocephalus mordax,コウモリ
1955,Harpiola isodon,コウモリ
1956,Harpyionycteris celebensis,コウモリ
1957,Harpyionycteris whiteheadi,コウモリ
1958,Heimyscus fumosus,ネズミ
1959,Helarctos malayanus,クマ
1960,Heliophobius argenteocinereus,モグラ
1961,Heliophobius emini,モグラ
1962,Heliosciurus gambianus,リス
1963,Heliosciurus rufobrachium,リス
1964,Heliosciurus ruwenzorii,リス
1965,Heliosciurus undulatus,リス
1966,Helogale hirtula,マングース
1967,Helogale parvula,マングース
1969,Hemicentetes nigriceps,ハリネズミ
1970,Hemicentetes semispinosus,ハリネズミ
1971,Hemiechinus auritus,ハリネズミ
1973,Hemitragus jemlahicus,ヤギ
1974,Herpailurus yagouaroundi,ヤマネコ
1975,Herpestes brachyurus,マングース
1976,Herpestes edwardsi,マングース
1977,Herpestes fuscus,マングース
1978,Herpestes ichneumon,マングース
1979,Herpestes semitorquatus,マングース
1980,Herpestes smithii,マングース
1981,Herpestes urva,マングース
1982,Herpestes vitticollis,マングース
1983,Hesperoptenus blanfordi,コウモリ
1984,Hesperoptenus doriae,コウモリ
1985,Hesperoptenus tickelli,コウモリ
1986,Hesperoptenus tomesi,コウモリ
1987,Hesperosciurus griseus,リス
1988,Heterocephalus glaber,ハダカデバネズミ
1989,Heterogeomys cavator,ネズミ
1990,Heterogeomys cherriei,ネズミ
1991,Heterogeomys dariensis,ネズミ
1992,Heterogeomys heterodus,ネズミ
1993,Heterogeomys hispidus,ネズミ
1994,Heterogeomys lanius,ネズミ
1995,Heterogeomys underwoodi,ネズミ
1997,Heteromys adspersus,ネズミ
1998,Heteromys anomalus,ネズミ
1999,Heteromys australis,ネズミ
2000,Heteromys desmarestianus,ネズミ
2001,Heteromys gaumeri,ネズミ
2002,Heteromys goldmani,ネズミ
2003,Heteromys irroratus,ネズミ
2004,Heteromys nelsoni,ネズミ
2005,Heteromys nubicolens,ネズミ
2006,Heteromys oasicus,ネズミ
2007,Heteromys oresterus,ネズミ
2008,Heteromys pictus,ネズミ
2009,Heteromys salvini,ネズミ
2010,Heteromys spectabilis,ネズミ
2011,Hexaprotodon liberiensis,カバ
2015,Hippocamelus antisensis,シカ
2016,Hippocamelus bisulcus,シカ
2017,Hippopotamus amphibius,カバ
2018,Hippopotamus minor,カバ
2019,Hipposideros abae,コウモリ
2020,Hipposideros alongensis,コウモリ
2021,Hipposideros armiger,コウモリ
2022,Hipposideros ater,コウモリ
2023,Hipposideros beatus,コウモリ
2024,Hipposideros bicolor,コウモリ
2025,Hipposideros boeadii,コウモリ
2026,Hipposideros caffer,コウモリ
2027,Hipposideros calcaratus,コウモリ
2028,Hipposideros cervinus,コウモリ
2029,Hipposideros cineraceus,コウモリ
2030,Hipposideros coronatus,コウモリ
2031,Hipposideros coxi,コウモリ
2032,Hipposideros demissus,コウモリ
2033,Hipposideros diadema,コウモリ
2034,Hipposideros dinops,コウモリ
2035,Hipposideros doriae,コウモリ
2036,Hipposideros durgadasi,コウモリ
2037,Hipposideros dyacorum,コウモリ
2038,Hipposideros einnaythu,コウモリ
2039,Hipposideros fuliginosus,コウモリ
2040,Hipposideros fulvus,コウモリ
2041,Hipposideros galeritus,コウモリ
2042,Hipposideros gentilis,コウモリ
2043,Hipposideros grandis,コウモリ
2044,Hipposideros griffini,コウモリ
2045,Hipposideros halophyllus,コウモリ
2046,Hipposideros hypophyllus,コウモリ
2047,Hipposideros jonesi,コウモリ
2048,Hipposideros khaokhouayensis,コウモリ
2049,Hipposideros khasiana,コウモリ
2050,Hipposideros kingstonae,コウモリ
2051,Hipposideros kunzi,コウモリ
2052,Hipposideros lamottei,コウモリ
2053,Hipposideros lankadiva,コウモリ
2054,Hipposideros larvatus,コウモリ
2055,Hipposideros lekaguli,コウモリ
2056,Hipposideros lylei,コウモリ
2057,Hipposideros marisae,コウモリ
2058,Hipposideros nicobarulae,コウモリ
2059,Hipposideros obscurus,コウモリ
2060,Hipposideros pelingensis,コウモリ
2061,Hipposideros pendleburyi,コウモリ
2062,Hipposideros pomona,コウモリ
2063,Hipposideros poutensis,コウモリ
2064,Hipposideros pratti,コウモリ
2065,Hipposideros pygmaeus,コウモリ
2066,Hipposideros ridleyi,コウモリ
2067,Hipposideros rotalis,コウモリ
2068,Hipposideros ruber,コウモリ
2069,Hipposideros scutinares,コウモリ
2070,Hipposideros speoris,コウモリ
2071,Hipposideros turpis,コウモリ
2072,Hippotragus equinus,ウマ
2074,Hippotragus niger,アンテロープ
2075,Histiotus diaphanopterus,コウモリ
2076,Histiotus humboldti,コウモリ
2077,Histiotus laephotis,コウモリ
2078,Histiotus macrotus,コウモリ
2079,Histiotus magellanicus,コウモリ
2080,Histiotus mochica,コウモリ
2081,Histiotus montanus,コウモリ
2082,Histiotus velatus,コウモリ
2083,Hodomys alleni,ネズミ
2084,Holochilus brasiliensis,ネズミ
2085,Holochilus chacarius,ネズミ
2086,Holochilus nanus,ネズミ
2087,Holochilus sciureus,ネズミ
2088,Holochilus vulpinus,ネズミ
2090,Homo sapiens,ヒト
2093,Hoolock hoolock,テナガザル
2094,Hoolock leuconedys,テナガザル
2095,Hoolock tianxing,テナガザル
2096,Hoplomys gymnurus,ネズミ
2097,Hsunycteris cadenai,コウモリ
2098,Hsunycteris dashe,コウモリ
2099,Hsunycteris pattoni,コウモリ
2100,Hsunycteris thomasi,コウモリ
2101,Huetia leucorhinus,サル
2102,Hyaena hyaena,ハイエナ
2103,Hybomys badius,ネズミ
2104,Hybomys basilii,ネズミ
2105,Hybomys eisentrauti,ネズミ
2106,Hybomys lunaris,ネズミ
2107,Hybomys planifrons,ネズミ
2108,Hybomys rufocanus,ネズミ
2109,Hybomys trivirgatus,ネズミ
2110,Hybomys univittatus,ネズミ
2112,Hydrochoerus hydrochaeris,カピバラ
2113,Hydrodamalis gigas,ジュゴン
2114,Hydromys chrysogaster,ネズミ
2115,Hydromys neobrittanicus,ネズミ
2116,Hydropotes inermis,ノロジカ
2117,Hydrurga leptonyx,アザラシ
2118,Hyelaphus porcinus,シカ
2119,Hyemoschus aquaticus,シカ
2121,Hylaeamys acritus,ネズミ
2122,Hylaeamys laticeps,ネズミ
2123,Hylaeamys megacephalus,ネズミ
2124,Hylaeamys perenensis,ネズミ
2125,Hylaeamys seuanezi,ネズミ
2126,Hylaeamys tatei,ネズミ
2127,Hylaeamys yunganus,ネズミ
2128,Hylobates agilis,テナガザル
2129,Hylobates albibarbis,サル
2130,Hylobates funereus,サル
2131,Hylobates klossii,サル
2132,Hylobates lar,テナガザル
2133,Hylobates moloch,サル
2134,Hylobates muelleri,テナガザル
2135,Hylobates pileatus,テナガザル
2136,Hylochoerus meinertzhageni,イノシシ
2137,Hylomys dorsalis,ハリネズミ
2138,Hylomys macarong,ハリネズミ
2139,Hylomys maxi,ハリネズミ
2140,Hylomys megalotis,ハリネズミ
2141,Hylomys parvus,ハリネズミ
2142,Hylomys peguensis,ハリネズミ
2143,Hylomys suillus,ハリネズミ
2144,Hylomys vorax,ハリネズミ
2145,Hylomyscus aeta,ネズミ
2146,Hylomyscus alleni,ネズミ
2147,Hylomyscus anselli,ネズミ
2148,Hylomyscus arcimontensis,ネズミ
2149,Hylomyscus baeri,ネズミ
2150,Hylomyscus denniae,ネズミ
2151,Hylomyscus endorobae,ネズミ
2152,Hylomyscus grandis,ネズミ
2153,Hylomyscus heinrichorum,ネズミ
2154,Hylomyscus kaimosae,ネズミ
2155,Hylomyscus kerbispeterhansi,ネズミ
2156,Hylomyscus mpungamachagorum,ネズミ
2157,Hylomyscus pamfi,ネズミ
2158,Hylomyscus parvus,ネズミ
2159,Hylomyscus pygmaeus,ネズミ
2160,Hylomyscus simus,ネズミ
2161,Hylomyscus stanleyi,ネズミ
2162,Hylomyscus stella,ネズミ
2163,Hylomyscus thornesmithae,ネズミ
2164,Hylomyscus walterverheyeni,ネズミ
2165,Hylonycteris underwoodi,コウモリ
2166,Hylopetes alboniger,リス
2167,Hylopetes lepidus,リス
2168,Hylopetes nigripes,リス
2169,Hylopetes phayrei,リス
2170,Hylopetes spadiceus,リス
2171,Hyomys goliath,ネズミ
2172,Hyorhinomys stuempkei,ネズミ
2173,Hyosciurus heinrichi,リス
2174,Hyosciurus ileile,リス
2175,Hyperacrius fertilis,ネズミ
2176,Hyperoodon ampullatus,クジラ
2177,Hyperoodon planifrons,クジラ
2178,Hypnomys morpheus,ネズミ
2179,Hypogeomys antimena,ネズミ
2180,Hypsignathus monstrosus,コウモリ
2182,Hypsugo alaschanicus,コウモリ
2183,Hypsugo arabicus,コウモリ
2184,Hypsugo ariel,コウモリ
2185,Hypsugo cadornae,コウモリ
2186,Hypsugo dolichodon,コウモリ
2187,Hypsugo macrotis,コウモリ
2188,Hypsugo petersi,コウモリ
2189,Hypsugo pulveratus,コウモリ
2190,Hypsugo savii,コウモリ
2191,Hypsugo stubbei,コウモリ
2192,Hystrix africaeaustralis,ヤマアラシ
2193,Hystrix brachyura,ヤマアラシ
2194,Hystrix crassispinis,ヤマアラシ
2195,Hystrix cristata,ヤマアラシ
2196,Hystrix indica,ヤマアラシ
2197,Ia io,コウモリ
2198,Ichneumia albicauda,マングース
2199,Ichthyomys hydrobates,ネズミ
2200,Ichthyomys orientalis,ネズミ
2201,Ichthyomys stolzmanni,ネズミ
2202,Ichthyomys tweedii,ネズミ
2203,Ictidomys mexicanus,リス
2204,Ictidomys parvidens,リス
2205,Ictidomys tridecemlineatus,リス
2206,Ictonyx libycus,イタチ
2207,Ictonyx striatus,イタチ
2208,Idionycteris phyllotis,コウモリ
2210,Indopacetus pacificus,クジラ
2211,Indri indri,インドリ
2212,Inia araguaiaensis,イルカ
2213,Inia boliviensis,イルカ
2214,Inia geoffrensis,イルカ
2215,Inia humboldtiana,イルカ
2216,Iomys horsfieldi,リス
2217,Irenomys tarsalis,ネズミ
2220,Isoodon macrourus,バンディクート
2221,Isoodon obesulus,バンディクート
2223,Isothrix barbarabrownae,ネズミ
2224,Isothrix bistriata,ネズミ
2225,Isothrix negrensis,ネズミ
2226,Isothrix orinoci,ネズミ
2227,Isothrix pagurus,ネズミ
2228,Isothrix sinnamariensis,ネズミ
2229,Isthmomys flavidus,ネズミ
2230,Isthmomys pirrensis,ネズミ
