number,scientific_name,english_common_name,japanese_common_name
1580,Eothenomys eva,Mouse,ネズミ
1581,Eothenomys imaizumii,Mouse,ネズミ
1582,Eothenomys inez,Mouse,ネズミ
1583,Eothenomys luojishanensis,Mouse,ネズミ
1584,Eothenomys melanogaster,Mouse,ネズミ
1585,Eothenomys miletus,Mouse,ネズミ
1586,Eothenomys shimianensis,Mouse,ネズミ
1587,Eozapus setchuanus,Mouse,ネズミ
1588,Episoriculus caudatus,Shrew,モグラ
1589,Episoriculus leucops,Shrew,モグラ
1590,Episoriculus macrurus,Shrew,モグラ
1591,Episoriculus soluensis,Shrew,モグラ
1592,Episoriculus umbrinus,Shrew,モグラ
1593,Epixerus wilsoni,Squirrel,リス
1594,Epomophorus anselli,Bat,コウモリ
1595,Epomophorus crypturus,Bat,コウモリ
1596,Epomophorus dobsonii,Bat,コウモリ
1597,Epomophorus gambianus,Bat,コウモリ
1598,Epomophorus labiatus,Bat,コウモリ
1599,Epomophorus minor,Bat,コウモリ
1600,Epomophorus pusillus,Bat,コウモリ
1601,Epomophorus wahlbergi,Bat,コウモリ
1602,Epomops buettikoferi,Bat,コウモリ
1603,Epomops franqueti,Bat,コウモリ
1604,Eptesicus dutertreus,Bat,コウモリ
1605,Eptesicus fuscus,Bat,コウモリ
1606,Equus asinus,Donkey,ロバ
1607,Equus caballus,Horse,ウマ
1608,Equus capensis,None,ウマ
1609,Equus dalianensis,Horse,ウマ
1610,Equus ferus,Horse,ウマ
1611,Equus grevyi,Zebra,シマウマ
1612,Equus hemionus,Wild Ass,ロバ
1613,Equus hydruntinus,Horse,ウマ
1614,Equus kiang,Kiang,ロバ
1615,Equus lambei,Horse,ウマ
1616,Equus mosbachensis,Horse,ウマ
1617,Equus neogeus,Horse,ウマ
1618,Equus ovodovi,None,ウマ
1619,Equus przewalskii,Przewalski's Horse,ウマ
1620,Equus quagga,Zebra,シマウマ
1621,Equus scotti,Horse,ウマ
1622,Equus zebra,Zebra,シマウマ
1623,Eremitalpa granti,Mole,モグラ
1624,Eremodipus lichtensteini,Jerboa,ネズミ
1625,Eremoryzomys polius,Mouse,ネズミ
1626,Erethizon dorsatum,Porcupine,ヤマアラシ
1627,Erignathus barbatus,Bearded Seal,アザラシ
1628,Erinaceus amurensis,Hedgehog,ハリネズミ
1629,Erinaceus concolor,Hedgehog,ハリネズミ
1630,Erinaceus europaeus,Hedgehog,ハリネズミ
1631,Erinaceus roumanicus,Hedgehog,ハリネズミ
1632,Eropeplus canus,None,ネズミ
1633,Erophylla bombifrons,Bat,コウモリ
1634,Erophylla sezekorni,Bat,コウモリ
1635,Erythrocebus patas,Monkey,サル
1636,Eschrichtius robustus,Gray Whale,クジラ
1637,Eubalaena australis,Whale,クジラ
1638,Eubalaena glacialis,Whale,クジラ
1639,Eubalaena japonica,Whale,クジラ
1640,Euchoreutes naso,Jerboa,ネズミ
1641,Euderma maculatum,Bat,コウモリ
1642,Eudiscopus denticulus,Bat,コウモリ
1643,Eudorcas rufifrons,Gazelle,ガゼル
1644,Eudorcas thomsonii,Thomson's Gazelle,ガゼル
1645,Eulemur albifrons,Lemur,サル
1646,Eulemur cinereiceps,Lemur,サル
1647,Eulemur coronatus,Lemur,サル
1648,Eulemur flavifrons,Lemur,サル
1649,Eulemur fulvus,Lemur,サル
1650,Eulemur macaco,Lemur,サル
1651,Eulemur mongoz,Lemur,サル
1652,Eulemur rubriventer,Red-bellied Lemur,サル
1653,Eulemur rufifrons,Lemur,サル
1654,Eulemur rufus,Lemur,キツネザル
1655,Eulemur sanfordi,Lemur,サル
1656,Eumetopias jubatus,Steller sea lion,アシカ
1657,Eumops auripendulus,Bat,コウモリ
1658,Eumops bonariensis,Bat,コウモリ
1659,Eumops chimaera,Bat,コウモリ
1660,Eumops dabbenei,Bat,コウモリ
1661,Eumops ferox,Bat,コウモリ
1662,Eumops glaucinus,Bat,コウモリ
1663,Eumops hansae,Bat,コウモリ
1664,Eumops maurus,Bat,コウモリ
1665,Eumops nanus,Bat,コウモリ
1666,Eumops patagonicus,Bat,コウモリ
1667,Eumops perotis,Bat,コウモリ
1668,Eumops underwoodi,Bat,コウモリ
1669,Eumops wilsoni,Bat,コウモリ
1670,Euneomys chinchilloides,Mouse,ネズミ
1671,Euneomys fossor,Mouse,ネズミ
1672,Euneomys mordax,Mouse,ネズミ
1673,Euoticus elegantulus,None,なし
1674,Eupetaurus cinereus,Flying Squirrel,リス
1675,Eupetaurus nivamons,Flying Squirrel,リス
1676,Euphractus sexcinctus,Armadillo,アルマジロ
1677,Eupleres goudotii,None,なし
1678,Euroscaptor grandis,Mole,モグラ
1679,Euroscaptor klossi,Mole,モグラ
1680,Euroscaptor kuznetsovi,Mole,モグラ
1681,Euroscaptor longirostris,Mole,モグラ
1682,Euroscaptor malayana,Mole,モグラ
1683,Euroscaptor micrura,Mole,モグラ
1684,Euroscaptor orlovi,Mole,モグラ
1685,Euroscaptor parvidens,Mole,モグラ
1686,Euroscaptor subanura,Mole,モグラ
1687,Euryoryzomys emmonsae,Mouse,ネズミ
1688,Euryoryzomys lamia,Mouse,ネズミ
1689,Euryoryzomys legatus,Mouse,ネズミ
1690,Euryoryzomys macconnelli,Mouse,ネズミ
1691,Euryoryzomys nitidus,Mouse,ネズミ
1692,Euryoryzomys russatus,Mouse,ネズミ
1693,Euryzygomatomys spinosus,Mouse,ネズミ
1694,Exilisciurus concinnus,Squirrel,リス
1695,Exilisciurus exilis,Squirrel,リス
1696,Exilisciurus whiteheadi,Squirrel,リス
1697,Falsistrellus mackenziei,Bat,コウモリ
1698,Falsistrellus tasmaniensis,Bat,コウモリ
1699,Felis catus,Cat,ネコ
1700,Felis chaus,Jungle Cat,ヤマネコ
1701,Felis margarita,Sand Cat,スナネコ
1702,Felis nigripes,Black-footed Cat,ネコ
1703,Felis silvestris,Wildcat,ネコ
1704,Felovia vae,None,なし
1705,Feresa attenuata,Pygmy Killer Whale,クジラ
1706,Feroculus feroculus,None,ネズミ
1707,Fossa fossana,Fossa,なし
1708,Frateromys fratrorum,Mouse,ネズミ
1709,Fukomys amatus,Mole Rat,モグラ
1710,Fukomys anselli,Mole-rat,モグラ
1711,Fukomys bocagei,Mole-rat,モグラ
1712,Fukomys choma,Mole Rat,モグラ
1713,Fukomys damarensis,Mole Rat,モグラ
1714,Fukomys darlingi,Mole-rat,モグラ
1715,Fukomys foxi,Mole Rat,モグラ
1716,Fukomys hanangensis,Mole-rat,モグラ
1717,Fukomys kafuensis,Mole-rat,モグラ
1718,Fukomys livingstoni,Mole-rat,モグラ
1719,Fukomys mechowii,Mole-rat,モグラ
1720,Fukomys micklemi,Mole-rat,モグラ
1721,Fukomys ochraceocinereus,Mole-rat,モグラ
1722,Fukomys whytei,Mole-rat,モグラ
1723,Fukomys zechi,Mole Rat,モグラ
1724,Funambulus layardi,Squirrel,リス
1725,Funambulus palmarum,Squirrel,リス
1726,Funambulus pennantii,Squirrel,リス
1727,Funambulus sublineatus,Squirrel,リス
1728,Funambulus tristriatus,Squirrel,リス
1729,Funisciurus anerythrus,Squirrel,リス
1730,Funisciurus carruthersi,Squirrel,リス
1731,Funisciurus pyrropus,Squirrel,リス
1732,Furipterus horrens,Bat,コウモリ
1733,Galago alleni,Bushbaby,ガラゴ
1734,Galago gabonensis,Bushbaby,ガラゴ
1735,Galago gallarum,Bushbaby,ガラゴ
1736,Galago matschiei,Bushbaby,なし
1737,Galago moholi,Bushbaby,サル
1738,Galago senegalensis,Bushbaby,ガラゴ
1739,Galagoides cocos,Bushbaby,サル
1740,Galagoides demidoff,Bushbaby,サル
1741,Galagoides orinus,Bushbaby,サル
1742,Galagoides rondoensis,None,サル
1743,Galagoides thomasi,Bushbaby,サル
1744,Galea monasteriensis,Guinea Pig,モルモット
1745,Galea musteloides,Guinea Pig,モルモット
1746,Galea spixii,Cavy,モルモット
1747,Galegeeska revoilii,None,なし
1748,Galegeeska rufescens,Elephant Shrew,なし
1749,Galemys pyrenaicus,Pyrenean Desman,モグラ
1750,Galenomys garleppii,Mouse,ネズミ
1751,Galeopterus variegatus,Flying Lemur,ムササビ
1752,Galerella nigrata,Mongoose,マングース
1753,Galerella pulverulenta,Mongoose,マングース
1754,Galerella sanguinea,Mongoose,マングース
1755,Galictis cuja,Grison,イタチ
1756,Galictis vittata,Grison,イタチ
1757,Galidia elegans,Mongoose,なし
1758,Galidictis fasciata,None,なし
1759,Galidictis grandidieri,None,なし
1760,Gardnerycteris crenulata,Bat,コウモリ
1761,Gardnerycteris keenani,Bat,コウモリ
1762,Gardnerycteris koepckeae,Bat,コウモリ
1763,Gazella arabica,Gazelle,ガゼル
1764,Gazella bennettii,Gazelle,ガゼル
1765,Gazella cuvieri,Gazelle,ガゼル
1766,Gazella dorcas,Gazelle,ガゼル
1767,Gazella erlangeri,Gazelle,ガゼル
1768,Gazella gazella,Gazelle,ガゼル
1769,Gazella leptoceros,Gazelle,ガゼル
1770,Gazella saudiya,Gazelle,ガゼル
1771,Gazella spekei,Gazelle,ガゼル
1772,Gazella subgutturosa,Gazelle,ガゼル
1773,Genetta abyssinica,Genet,なし
1774,Genetta angolensis,Genet,なし
1775,Genetta bourloni,Genet,なし
1776,Genetta cristata,Genet,なし
1777,Genetta felina,Genet,なし
1778,Genetta genetta,Genet,ジャネット
1779,Genetta johnstoni,Genet,なし
1780,Genetta maculata,Genet,なし
1781,Genetta pardina,Genet,なし
1782,Genetta piscivora,Genet,なし
1783,Genetta poensis,Genet,なし
1784,Genetta servalina,Genet,なし
1785,Genetta thierryi,Genet,なし
1786,Genetta tigrina,Genet,なし
1787,Genetta victoriae,Genet,なし
1788,Geocapromys brownii,None,なし
1789,Geocapromys columbianus,None,なし
1790,Geocapromys ingrahami,None,ネズミ
1791,Geocapromys thoracatus,None,なし
1792,Geogale aurita,Mouse,ネズミ
1793,Geomys arenarius,Gopher,モグラ
1794,Geomys attwateri,Gopher,モグラ
1795,Geomys brazensis,Gopher,モグラ
1796,Geomys breviceps,Gopher,モグラ
1797,Geomys bursarius,Gopher,モグラ
1798,Geomys jugossicularis,Gopher,なし
1799,Geomys knoxjonesi,Gopher,ネズミ
1800,Geomys personatus,Gopher,モグラ
1801,Geomys pinetis,Gopher,モグラ
1802,Geomys streckeri,Gopher,モグラ
1803,Geomys texensis,Gopher,モグラ
1804,Geomys tropicalis,Gopher,モグラ
1805,Georychus capensis,Mole Rat,モグラ
1806,Geoxus annectens,Mouse,ネズミ
1807,Geoxus lafkenche,Mouse,ネズミ
1808,Geoxus michaelseni,Mouse,ネズミ
1809,Geoxus valdivianus,Mouse,ネズミ
1810,Gerbilliscus afer,Gerbil,ネズミ
1811,Gerbilliscus boehmi,Gerbil,ネズミ
1812,Gerbilliscus brantsii,Gerbil,ネズミ
1813,Gerbilliscus gambianus,Gambian Gerbil,ネズミ
1814,Gerbilliscus guineae,Gerbil,ネズミ
1815,Gerbilliscus inclusus,Gerbil,ネズミ
1816,Gerbilliscus kempi,Gerbil,ネズミ
1817,Gerbilliscus leucogaster,Gerbil,ネズミ
1818,Gerbilliscus nigricaudus,Gerbil,ネズミ
1819,Gerbilliscus phillipsi,Gerbil,ネズミ
1820,Gerbilliscus robustus,Gerbil,ネズミ
1821,Gerbilliscus taborae,Gerbil,ネズミ
1822,Gerbilliscus validus,Gerbil,ネズミ
1823,Gerbilliscus vicinus,Gerbil,ネズミ
1824,Gerbillurus paeba,Mouse,ネズミ
1825,Gerbillurus setzeri,Gerbil,ネズミ
1826,Gerbillurus tytonis,Mouse,ネズミ
1827,Gerbillurus vallinus,Mouse,ネズミ
1828,Gerbillus amoenus,Mouse,ネズミ
1829,Gerbillus andersoni,Gerbil,ネズミ
1830,Gerbillus cheesmani,Mouse,ネズミ
1831,Gerbillus floweri,Mouse,ネズミ
1832,Gerbillus gerbillus,Gerbil,ネズミ
1833,Gerbillus henleyi,Mouse,ネズミ
1834,Gerbillus hesperinus,Mouse,ネズミ
1835,Gerbillus hoogstrali,Gerbil,ネズミ
1836,Gerbillus latastei,Gerbil,ネズミ
1837,Gerbillus mesopotamiae,Gerbil,ネズミ
1838,Gerbillus nancillus,Mouse,ネズミ
1839,Gerbillus nanus,Mouse,ネズミ
1840,Gerbillus nigeriae,Mouse,ネズミ
1841,Gerbillus occiduus,Mouse,ネズミ
1842,Gerbillus perpallidus,Gerbil,ネズミ
1843,Gerbillus poecilops,Mouse,ネズミ
1844,Gerbillus pusillus,Gerbil,ネズミ
1845,Gerbillus pyramidum,Gerbil,ネズミ
1846,Gerbillus tarabuli,Gerbil,ネズミ
1847,Giraffa camelopardalis,Giraffe,キリン
1848,Giraffa giraffa,Giraffe,キリン
1849,Giraffa reticulata,Giraffe,キリン
1850,Giraffa tippelskirchi,Giraffe,キリン
1851,Glaucomys oregonensis,Flying Squirrel,リス
1852,Glaucomys sabrinus,Flying Squirrel,モモンガ
1853,Glaucomys volans,Flying Squirrel,モモンガ
1854,Glauconycteris alboguttata,Bat,コウモリ
1855,Glauconycteris argentata,Bat,コウモリ
1856,Glauconycteris atra,Bat,コウモリ
1857,Glauconycteris beatrix,Bat,コウモリ
1858,Glauconycteris curryae,Bat,コウモリ
1859,Glauconycteris egeria,Bat,コウモリ
1860,Glauconycteris humeralis,Bat,コウモリ
1861,Glauconycteris poensis,Bat,コウモリ
1862,Glauconycteris superba,Bat,コウモリ
1863,Glauconycteris variegata,Bat,コウモリ
1864,Glironia venusta,None,なし
1865,Glirulus japonicus,Dormouse,ヤマネ
1866,Glis glis,Dormouse,ヤマネ
1867,Glischropus aquilus,Bat,コウモリ
1868,Glischropus bucephalus,Bat,コウモリ
1869,Glischropus tylopus,Bat,コウモリ
1870,Globicephala macrorhynchus,Whale,クジラ
1871,Globicephala melas,Whale,クジラ
1872,Glossophaga commissarisi,Bat,コウモリ
1873,Glossophaga leachii,Bat,コウモリ
1874,Glossophaga longirostris,Bat,コウモリ
1875,Glossophaga morenoi,Bat,コウモリ
1876,Glossophaga mutica,Bat,コウモリ
1877,Glossophaga soricina,Bat,コウモリ
1878,Glossotherium robustum,None,なし
1879,Glyphonycteris daviesi,Bat,コウモリ
1880,Glyphonycteris sylvestris,Bat,コウモリ
1881,Glyphotes simus,Monkey,サル
1882,Golunda ellioti,Mouse,ネズミ
1883,Gorilla beringei,Gorilla,ゴリラ
1884,Gorilla gorilla,Gorilla,ゴリラ
1885,Gracilimus radix,Mouse,ネズミ
1886,Gracilinanus aceramarcae,Mouse,なし
1887,Gracilinanus agilis,Mouse Opossum,なし
1888,Gracilinanus emiliae,Mouse Opossum,なし
1889,Gracilinanus marica,Mouse Opossum,なし
1890,Gracilinanus microtarsus,Mouse Opossum,なし
1891,Gracilinanus peruanus,Mouse Opossum,なし
1892,Grammomys cometes,Mouse,ネズミ
1893,Grammomys dolichurus,Mouse,ネズミ
1894,Grammomys dryas,Mouse,ネズミ
1895,Grammomys gazellae,Mouse,ネズミ
1896,Grammomys ibeanus,Mouse,ネズミ
1897,Grammomys macmillani,Mouse,ネズミ
1898,Grammomys poensis,Mouse,ネズミ
1899,Grammomys polionops,Mouse,ネズミ
1900,Grammomys selousi,Mouse,ネズミ
1901,Grammomys surdaster,Mouse,ネズミ
1902,Grampus griseus,Risso's Dolphin,イルカ
1903,Graomys centralis,Mouse,ネズミ
1904,Graomys chacoensis,Mouse,ネズミ
1905,Graomys domorum,Mouse,ネズミ
1906,Graomys griseoflavus,Mouse,ネズミ
1907,Graphiurus kelleni,Dormouse,ネズミ
1908,Graphiurus lorraineus,Dormouse,ネズミ
1909,Graphiurus microtis,Dormouse,ネズミ
1910,Graphiurus murinus,Dormouse,ネズミ
1911,Graphiurus ocularis,Dormouse,ネズミ
1912,Graphiurus platyops,Dormouse,ネズミ
1913,Guerlinguetus aestuans,Squirrel,リス
1914,Guerlinguetus brasiliensis,Squirrel,リス
1915,Gulo gulo,Wolverine,クズリ
1916,Gymnobelideus leadbeateri,Leadbeater's Possum,なし
1917,Gymnuromys roberti,Mouse,ネズミ
1918,Habromys chinanteco,Mouse,ネズミ
1919,Habromys delicatulus,Mouse,ネズミ
1920,Habromys ixtlani,Mouse,ネズミ
1921,Habromys lepturus,Mouse,ネズミ
1922,Habromys lophurus,Mouse,ネズミ
1923,Habromys schmidlyi,Mouse,ネズミ
1924,Habromys simulatus,Mouse,ネズミ
1925,Hadropithecus stenognathus,None,なし
1926,Hadrosciurus igniventris,Squirrel,リス
1927,Hadrosciurus pyrrhinus,Squirrel,リス
1928,Hadrosciurus spadiceus,Squirrel,リス
1929,Haeromys minahassae,Mouse,ネズミ
1930,Halichoerus grypus,Seal,アザラシ
1931,Halmaheramys bokimekot,None,ネズミ
1932,Halmaheramys wallacei,Mouse,ネズミ
1933,Handleyomys alfaroi,Mouse,ネズミ
1934,Handleyomys chapmani,Mouse,ネズミ
1935,Handleyomys fuscatus,Mouse,ネズミ
1936,Handleyomys guerrerensis,Mouse,ネズミ
1937,Handleyomys intectus,Mouse,ネズミ
1938,Handleyomys melanotis,Mouse,ネズミ
1939,Handleyomys rhabdops,Mouse,ネズミ
1940,Handleyomys rostratus,Mouse,ネズミ
1941,Handleyomys saturatior,Mouse,ネズミ
1942,Hapalemur alaotrensis,Lemur,サル
1943,Hapalemur aureus,Golden Bamboo Lemur,サル
1944,Hapalemur gilberti,Lemur,サル
1945,Hapalemur griseus,Lemur,サル
1946,Hapalemur meridionalis,Lemur,サル
1947,Hapalemur occidentalis,Lemur,サル
1948,Hapalomys delacouri,Mouse,ネズミ
1949,Hapalomys longicaudatus,Mouse,ネズミ
1950,Hapalomys suntsovi,Mouse,ネズミ
1951,Haplonycteris fischeri,Bat,コウモリ
1952,Haringtonhippus francisci,Horse,ウマ
1953,Harpiocephalus harpia,Bat,コウモリ
1954,Harpiocephalus mordax,Bat,コウモリ
1955,Harpiola isodon,Bat,コウモリ
1956,Harpyionycteris celebensis,Bat,コウモリ
1957,Harpyionycteris whiteheadi,Bat,コウモリ
1958,Heimyscus fumosus,Mouse,ネズミ
1959,Helarctos malayanus,Sun Bear,クマ
1960,Heliophobius argenteocinereus,Mole Rat,モグラ
1961,Heliophobius emini,Mole Rat,モグラ
1962,Heliosciurus gambianus,Squirrel,リス
1963,Heliosciurus rufobrachium,Squirrel,リス
1964,Heliosciurus ruwenzorii,Squirrel,リス
1965,Heliosciurus undulatus,Squirrel,リス
1966,Helogale hirtula,Mongoose,マングース
1967,Helogale parvula,Mongoose,マングース
1968,Hemibelideus lemuroides,Lemur,なし
1969,Hemicentetes nigriceps,Tenrec,ハリネズミ
1970,Hemicentetes semispinosus,Tenrec,ハリネズミ
1971,Hemiechinus auritus,Hedgehog,ハリネズミ
1972,Hemigalus derbyanus,Civet,なし
1973,Hemitragus jemlahicus,Himalayan Tahr,ヤギ
1974,Herpailurus yagouaroundi,Jaguarundi,ヤマネコ
1975,Herpestes brachyurus,Mongoose,マングース
1976,Herpestes edwardsi,Mongoose,マングース
1977,Herpestes fuscus,Mongoose,マングース
1978,Herpestes ichneumon,Mongoose,マングース
1979,Herpestes semitorquatus,Mongoose,マングース
1980,Herpestes smithii,Mongoose,マングース
1981,Herpestes urva,Mongoose,マングース
1982,Herpestes vitticollis,Mongoose,マングース
1983,Hesperoptenus blanfordi,Bat,コウモリ
1984,Hesperoptenus doriae,Bat,コウモリ
1985,Hesperoptenus tickelli,Bat,コウモリ
1986,Hesperoptenus tomesi,Bat,コウモリ
1987,Hesperosciurus griseus,Squirrel,リス
1988,Heterocephalus glaber,Naked Mole Rat,ハダカデバネズミ
1989,Heterogeomys cavator,Gopher,ネズミ
1990,Heterogeomys cherriei,None,ネズミ
1991,Heterogeomys dariensis,None,ネズミ
1992,Heterogeomys heterodus,Gopher,ネズミ
1993,Heterogeomys hispidus,Gopher,ネズミ
1994,Heterogeomys lanius,Gopher,ネズミ
1995,Heterogeomys underwoodi,None,ネズミ
1996,Heterohyrax brucei,Hyrax,なし
1997,Heteromys adspersus,Mouse,ネズミ
1998,Heteromys anomalus,Mouse,ネズミ
1999,Heteromys australis,Mouse,ネズミ
2000,Heteromys desmarestianus,Mouse,ネズミ
2001,Heteromys gaumeri,Mouse,ネズミ
2002,Heteromys goldmani,Mouse,ネズミ
2003,Heteromys irroratus,Mouse,ネズミ
2004,Heteromys nelsoni,Mouse,ネズミ
2005,Heteromys nubicolens,Mouse,ネズミ
2006,Heteromys oasicus,Mouse,ネズミ
2007,Heteromys oresterus,Mouse,ネズミ
2008,Heteromys pictus,Mouse,ネズミ
2009,Heteromys salvini,Mouse,ネズミ
2010,Heteromys spectabilis,Mouse,ネズミ
2011,Hexaprotodon liberiensis,Pygmy Hippopotamus,カバ
2012,Hippidion devillei,None,なし
2013,Hippidion principale,None,なし
2014,Hippidion saldiasi,None,なし
2015,Hippocamelus antisensis,Deer,シカ
2016,Hippocamelus bisulcus,Deer,シカ
2017,Hippopotamus amphibius,Hippopotamus,カバ
2018,Hippopotamus minor,Hippopotamus,カバ
2019,Hipposideros abae,Bat,コウモリ
2020,Hipposideros alongensis,Bat,コウモリ
2021,Hipposideros armiger,Bat,コウモリ
2022,Hipposideros ater,Bat,コウモリ
2023,Hipposideros beatus,Bat,コウモリ
2024,Hipposideros bicolor,Bat,コウモリ
2025,Hipposideros boeadii,Bat,コウモリ
2026,Hipposideros caffer,Bat,コウモリ
2027,Hipposideros calcaratus,Bat,コウモリ
2028,Hipposideros cervinus,Bat,コウモリ
2029,Hipposideros cineraceus,Bat,コウモリ
2030,Hipposideros coronatus,Bat,コウモリ
2031,Hipposideros coxi,Bat,コウモリ
2032,Hipposideros demissus,Bat,コウモリ
2033,Hipposideros diadema,Bat,コウモリ
2034,Hipposideros dinops,Bat,コウモリ
2035,Hipposideros doriae,Bat,コウモリ
2036,Hipposideros durgadasi,Bat,コウモリ
2037,Hipposideros dyacorum,Bat,コウモリ
2038,Hipposideros einnaythu,Bat,コウモリ
2039,Hipposideros fuliginosus,Bat,コウモリ
2040,Hipposideros fulvus,Bat,コウモリ
2041,Hipposideros galeritus,Bat,コウモリ
2042,Hipposideros gentilis,Bat,コウモリ
2043,Hipposideros grandis,Bat,コウモリ
2044,Hipposideros griffini,Bat,コウモリ
2045,Hipposideros halophyllus,Bat,コウモリ
2046,Hipposideros hypophyllus,Bat,コウモリ
2047,Hipposideros jonesi,Bat,コウモリ
2048,Hipposideros khaokhouayensis,Bat,コウモリ
2049,Hipposideros khasiana,Bat,コウモリ
2050,Hipposideros kingstonae,Bat,コウモリ
2051,Hipposideros kunzi,Bat,コウモリ
2052,Hipposideros lamottei,Bat,コウモリ
2053,Hipposideros lankadiva,Bat,コウモリ
2054,Hipposideros larvatus,Bat,コウモリ
2055,Hipposideros lekaguli,Bat,コウモリ
2056,Hipposideros lylei,Bat,コウモリ
2057,Hipposideros marisae,Bat,コウモリ
2058,Hipposideros nicobarulae,Bat,コウモリ
2059,Hipposideros obscurus,Bat,コウモリ
2060,Hipposideros pelingensis,Bat,コウモリ
2061,Hipposideros pendleburyi,Bat,コウモリ
2062,Hipposideros pomona,Bat,コウモリ
2063,Hipposideros poutensis,Bat,コウモリ
2064,Hipposideros pratti,Bat,コウモリ
2065,Hipposideros pygmaeus,Bat,コウモリ
2066,Hipposideros ridleyi,Bat,コウモリ
2067,Hipposideros rotalis,Bat,コウモリ
2068,Hipposideros ruber,Bat,コウモリ
2069,Hipposideros scutinares,Bat,コウモリ
2070,Hipposideros speoris,Bat,コウモリ
2071,Hipposideros turpis,Bat,コウモリ
2072,Hippotragus equinus,Roan Antelope,ウマ
2073,Hippotragus leucophaeus,None,なし
2074,Hippotragus niger,Sable Antelope,アンテロープ
2075,Histiotus diaphanopterus,Bat,コウモリ
2076,Histiotus humboldti,Bat,コウモリ
2077,Histiotus laephotis,Bat,コウモリ
2078,Histiotus macrotus,Bat,コウモリ
2079,Histiotus magellanicus,Bat,コウモリ
2080,Histiotus mochica,Bat,コウモリ
2081,Histiotus montanus,Bat,コウモリ
2082,Histiotus velatus,Bat,コウモリ
2083,Hodomys alleni,Mouse,ネズミ
2084,Holochilus brasiliensis,Rat,ネズミ
2085,Holochilus chacarius,Mouse,ネズミ
2086,Holochilus nanus,Mouse,ネズミ
2087,Holochilus sciureus,Rat,ネズミ
2088,Holochilus vulpinus,Mouse,ネズミ
2089,Homo heidelbergensis,None,なし
2090,Homo sapiens,Human,ヒト
2091,Homotherium latidens,None,なし
2092,Homotherium serum,Saber-toothed Cat,なし
2093,Hoolock hoolock,Gibbon,テナガザル
2094,Hoolock leuconedys,Gibbon,テナガザル
2095,Hoolock tianxing,Gibbon,テナガザル
2096,Hoplomys gymnurus,Mouse,ネズミ
2097,Hsunycteris cadenai,Bat,コウモリ
2098,Hsunycteris dashe,Bat,コウモリ
2099,Hsunycteris pattoni,Bat,コウモリ
2100,Hsunycteris thomasi,Bat,コウモリ
2101,Huetia leucorhinus,Monkey,サル
2102,Hyaena hyaena,Hyena,ハイエナ
2103,Hybomys badius,Mouse,ネズミ
2104,Hybomys basilii,Mouse,ネズミ
2105,Hybomys eisentrauti,Mouse,ネズミ
2106,Hybomys lunaris,Mouse,ネズミ
2107,Hybomys planifrons,Mouse,ネズミ
2108,Hybomys rufocanus,Mouse,ネズミ
2109,Hybomys trivirgatus,Mouse,ネズミ
2110,Hybomys univittatus,Mouse,ネズミ
2111,Hydrictis maculicollis,Otter,なし
2112,Hydrochoerus hydrochaeris,Capybara,カピバラ
2113,Hydrodamalis gigas,Steller's Sea Cow,ジュゴン
2114,Hydromys chrysogaster,Water Rat,ネズミ
2115,Hydromys neobrittanicus,Mouse,ネズミ
2116,Hydropotes inermis,Water Deer,ノロジカ
2117,Hydrurga leptonyx,Leopard Seal,アザラシ
2118,Hyelaphus porcinus,Hog Deer,シカ
2119,Hyemoschus aquaticus,Water Chevrotain,シカ
2120,Hyladelphys kalinowskii,None,なし
2121,Hylaeamys acritus,Mouse,ネズミ
2122,Hylaeamys laticeps,Mouse,ネズミ
2123,Hylaeamys megacephalus,Mouse,ネズミ
2124,Hylaeamys perenensis,Mouse,ネズミ
2125,Hylaeamys seuanezi,Mouse,ネズミ
2126,Hylaeamys tatei,Mouse,ネズミ
2127,Hylaeamys yunganus,Mouse,ネズミ
2128,Hylobates agilis,Gibbon,テナガザル
2129,Hylobates albibarbis,Gibbon,サル
2130,Hylobates funereus,Gibbon,サル
2131,Hylobates klossii,Gibbon,サル
2132,Hylobates lar,Gibbon,テナガザル
2133,Hylobates moloch,Gibbon,サル
2134,Hylobates muelleri,Gibbon,テナガザル
2135,Hylobates pileatus,Gibbon,テナガザル
2136,Hylochoerus meinertzhageni,Giant Forest Hog,イノシシ
2137,Hylomys dorsalis,Hedgehog,ハリネズミ
2138,Hylomys macarong,None,ハリネズミ
2139,Hylomys maxi,Hedgehog,ハリネズミ
2140,Hylomys megalotis,Hedgehog,ハリネズミ
2141,Hylomys parvus,Hedgehog,ハリネズミ
2142,Hylomys peguensis,Hedgehog,ハリネズミ
2143,Hylomys suillus,Hedgehog,ハリネズミ
2144,Hylomys vorax,Hedgehog,ハリネズミ
2145,Hylomyscus aeta,Mouse,ネズミ
2146,Hylomyscus alleni,Mouse,ネズミ
2147,Hylomyscus anselli,Mouse,ネズミ
2148,Hylomyscus arcimontensis,Mouse,ネズミ
2149,Hylomyscus baeri,Mouse,ネズミ
2150,Hylomyscus denniae,Mouse,ネズミ
2151,Hylomyscus endorobae,Mouse,ネズミ
2152,Hylomyscus grandis,Mouse,ネズミ
2153,Hylomyscus heinrichorum,Mouse,ネズミ
2154,Hylomyscus kaimosae,Mouse,ネズミ
2155,Hylomyscus kerbispeterhansi,Mouse,ネズミ
2156,Hylomyscus mpungamachagorum,Mouse,ネズミ
